# id,sphere,gamma
103171,641,96
103172,868,47
103173,178,87
103174,233,43
103175,879,87
103176,842,66
103177,466,28
103178,858,83
103179,361,90
103180,466,28
103181,889,50
103182,881,43
103183,641,99
103184,641,99
103185,889,53
103186,876,58
103187,178,87
103188,89,61
103189,871,77
103190,89,54
103191,89,69
103192,610,28
103193,879,87
103194,233,37
103195,89,74
103196,233,31
103197,881,41
103198,843,34
103200,89,60
103201,610,29
103202,709,97
103203,868,37
103204,892,80
103205,466,27
103206,845,90
103207,892,82
103208,858,79
103209,811,91
103210,737,38
103211,89,67
103212,607,100
103213,89,66
103214,89,76
103215,89,54
103216,610,30
103217,811,93
103218,777,93
103219,881,43
103220,233,39
103221,892,80
103222,897,64
103223,178,86
103224,918,66
103225,178,77
103226,89,56
103227,610,27
103228,905,76
103229,89,69
103230,484,96
103231,811,90
103232,280,96
103233,89,65
103234,484,100
103235,610,30
103236,843,33
103237,89,71
103238,225,95
103239,858,83
103240,910,57
103241,518,87
103242,847,40
103243,892,85
103244,178,86
103245,779,70
103246,889,52
103247,518,100
103248,892,80
103249,573,100
103250,89,59
103251,792,39
103252,863,63
103253,484,100
103254,136,87
103255,610,30
103256,466,27
103257,811,91
103258,233,35
103259,884,62
103260,89,19
103261,233,29
103262,178,89
103263,892,80
103264,777,94
103265,212,90
103266,466,24
103267,905,70
103268,233,36
103270,466,27
103271,233,30
103272,845,90
103273,233,46
103274,845,89
103275,610,31
103276,790,86
103277,212,94
103278,89,79
103279,233,33
103280,450,100
103281,348,97
103282,826,39
103283,610,27
103284,889,53
103285,790,88
103286,610,27
103287,178,88
103288,892,79
103289,910,55
103290,233,45
103291,811,92
103292,843,38
103294,89,64
103295,212,92
103296,233,33
103297,926,72
103298,89,58
103299,905,72
103300,89,74
103301,89,63
103302,709,97
103303,531,82
103304,89,62
103305,845,87
103306,314,97
103307,610,27
103308,843,35
103309,374,91
103310,881,43
103311,233,29
103312,89,58
103313,902,46
103315,610,27
103316,918,67
103317,777,95
103318,860,39
103319,931,60
103320,0,73
103321,450,99
103322,610,28
103323,89,70
103324,178,82
103325,178,88
103327,610,30
103328,89,58
103329,843,38
103330,905,76
103331,314,97
103332,871,76
103333,89,57
103334,233,44
103335,89,49
103336,178,85
103337,81,82
103338,910,58
103339,868,46
103340,881,42
103341,233,33
103342,902,45
103343,89,60
103344,89,71
103345,89,65
103346,610,27
103347,233,31
103348,450,100
103349,892,81
103350,610,28
103351,889,50
103352,889,53
103353,178,83
103354,918,67
103355,879,87
103356,790,87
103357,892,80
103358,233,45
103359,416,99
103360,610,32
103361,539,100
103362,89,83
103363,821,74
103364,892,79
103365,735,87
103366,845,86
103367,0,19
103368,777,93
103369,233,17
103370,792,47
103372,879,86
103373,246,93
103374,843,43
103375,157,93
103376,910,54
103377,845,88
103378,573,100
103379,233,39
103380,897,64
103381,233,38
103382,610,27
103383,233,25
103384,466,28
103385,868,47
103386,233,31
103388,871,84
103389,790,89
103390,868,46
103391,89,65
103392,178,87
103393,212,92
103394,178,88
103395,89,60
103396,246,94
105193,599,66
105194,44,75
105195,489,70
105196,468,75
105197,575,45
105198,10,65
105199,44,75
105200,610,53
105201,89,62
105202,526,76
105203,89,73
105204,410,34
105205,89,14
105206,843,36
105207,57,81
105209,470,47
105210,610,24
105211,20,81
105212,159,93
105213,843,36
105215,855,51
105216,436,49
105217,675,70
105218,491,53
105219,567,43
105220,690,90
105221,233,65
105222,743,57
105223,466,45
105224,212,91
105225,732,93
105226,400,75
105227,122,19
105228,120,70
105229,141,82
105230,233,40
105231,457,40
105232,34,36
105233,259,88
105234,7,96
105235,722,59
105236,89,22
105237,466,27
105238,28,89
105239,610,42
105240,233,43
105241,20,87
105242,31,74
105243,400,76
105244,233,5
105245,89,28
105246,662,66
105247,630,53
105248,233,57
105249,0,76
105250,837,49
105251,0,71
105252,347,19
105253,15,82
105254,610,66
105255,287,16
105256,609,94
105257,897,62
105258,539,100
105259,2,65
105260,209,73
105261,366,77
105262,777,92
105263,7,83
105264,190,23
105265,107,66
105266,233,47
105267,588,79
105268,905,76
105269,858,42
105270,717,67
105271,868,47
105272,143,17
105273,198,16
105274,128,77
105275,233,23
105276,233,50
105277,217,68
105278,533,44
105279,13,54
105280,0,6
105281,897,65
105282,23,79
105283,233,38
105284,533,43
105285,89,76
105286,730,64
105287,887,52
105288,881,42
105290,491,50
105291,656,81
105292,44,75
105293,533,54
105294,743,62
105295,706,48
105296,0,76
105297,690,85
105298,635,76
105299,466,26
105300,89,78
105301,843,35
105302,233,43
105303,178,90
105304,751,64
105305,15,61
105306,141,68
105307,4,80
105643,233,29
105644,866,59
105645,709,69
105646,740,106
105647,89,73
105648,654,70
105649,114,19
105650,843,34
105651,13,74
105652,233,39
105653,52,80
105654,0,30
105655,52,88
105656,0,33
105657,580,50
105658,175,82
105659,175,88
105660,89,26
105661,18,84
105662,573,98
105663,610,29
105664,89,70
105665,233,27
105666,89,12
105667,879,85
105668,233,43
105669,610,28
105670,233,75
105671,327,99
105673,832,66
105674,779,51
105676,764,74
105677,89,66
105678,416,100
105679,89,69
105680,845,79
105681,518,93
105682,497,68
105683,89,31
105684,709,96
105685,314,97
105686,892,81
105687,26,79
105688,429,97
105689,18,77
105690,688,70
105691,610,19
105692,233,11
105693,89,34
105694,855,63
105696,89,53
105697,89,67
105698,466,29
105699,394,30
105700,115,83
105701,89,25
105702,800,71
105703,89,37
105704,884,65
105705,641,80
105706,614,45
105707,277,94
105708,381,41
105709,758,45
105710,798,77
105712,764,68
105713,743,95
105714,233,30
105715,610,32
105716,89,55
105717,89,86
105718,601,53
105719,233,55
105720,154,85
105721,876,65
105722,525,32
105723,819,70
105724,332,86
105725,0,26
105726,188,81
105727,233,26
105728,233,44
105729,610,27
105730,758,65
105731,89,62
105732,552,97
105733,696,79
105734,622,43
105735,60,72
105736,89,25
105737,565,72
105738,539,100
105739,89,62
105740,610,28
105742,89,21
105743,586,72
105744,89,29
105745,233,40
105746,18,89
105748,610,28
105749,610,25
105750,233,34
105751,724,45
105752,233,31
105753,0,70
105754,89,35
105755,233,27
105756,89,29
105757,89,83
105758,960,47
105759,724,64
105760,233,50
105761,89,66
105762,902,47
105763,18,82
105764,0,23
108817,466,28
108818,280,93
108820,843,39
108821,0,19
108822,879,84
108823,89,24
108824,89,68
108825,863,65
108827,450,88
108828,834,78
108829,845,87
108830,470,38
108831,601,49
108832,518,92
108833,826,40
108834,86,80
108835,136,77
108837,931,61
108838,89,19
108839,89,43
108840,89,82
108841,889,50
108842,233,30
108843,724,72
108844,233,34
108845,89,56
108846,233,34
108847,466,30
108848,847,44
108849,89,69
108850,89,51
108851,233,43
108852,777,90
108853,89,63
108854,191,95
108855,829,86
108856,178,86
108857,89,63
108858,777,92
108859,89,68
108860,868,46
108861,845,89
108862,89,64
108863,777,93
108864,641,77
108865,918,65
108866,233,39
108867,504,28
108868,610,28
108869,879,86
108870,0,72
108871,871,78
108872,233,27
108873,466,25
108874,233,48
108875,610,19
108876,466,25
108877,233,28
108878,212,91
108879,779,76
108880,233,29
108881,89,81
108926,573,100
108927,115,90
108928,656,76
108929,233,35
108930,423,31
108931,157,83
108932,610,29
108933,89,66
108934,89,43
108935,610,31
108937,133,81
108938,340,102
108939,149,92
108940,845,79
108941,610,27
108942,858,83
108943,212,91
108944,94,77
108945,518,101
108946,89,64
108947,89,48
108948,478,30
108949,233,68
108950,829,59
108951,89,50
108952,732,54
108954,89,48
108955,610,29
108956,89,80
108957,610,27
108958,905,70
108959,858,91
108961,843,32
108962,89,65
108963,889,51
108964,610,29
108965,892,80
108966,178,39
108967,662,76
108968,233,34
108969,709,72
108970,811,85
108971,843,36
108972,233,36
108973,191,92
108974,167,81
108975,233,40
108976,89,67
108977,233,22
108978,884,69
108979,845,85
108981,233,41
108982,853,56
108983,897,57
108984,811,87
108985,918,66
108986,89,57
108987,843,36
108988,918,69
108989,905,73
108990,233,38
108991,89,52
108992,31,80
108993,89,56
108994,811,93
108995,381,36
108996,696,80
108997,368,32
108998,884,74
108999,368,32
112528,2,82
112529,609,81
112530,866,7
112531,554,42
112532,70,6
112533,756,81
112534,248,90
112535,18,50
112536,256,79
112537,575,54
112538,178,35
112539,368,30
112540,340,70
112541,0,58
116809,539,100
116810,0,79
116812,211,42
116813,89,24
116814,89,50
116816,212,90
116817,858,83
116820,843,36
116821,552,101
116822,204,98
116823,641,99
116824,709,96
116825,897,61
116826,567,53
116827,897,63
116828,466,28
116829,457,27
116830,89,24
116831,233,33
116832,711,78
116833,233,32
116834,871,68
116835,868,47
116836,910,55
116837,610,28
116838,879,86
116839,89,65
116840,847,43
116841,10,81
116842,607,93
116843,233,33
116844,610,29
116845,868,49
116846,918,67
116847,709,97
116848,905,75
116849,709,97
116850,897,63
116851,641,98
116852,233,30
116853,847,45
116854,89,24
123363,843,33
123364,709,97
123365,89,60
123366,233,47
123367,89,64
123368,178,88
123369,743,95
123370,89,64
123371,518,95
123372,641,99
123373,178,81
123374,89,74
123375,233,30
123376,89,62
123377,233,30
123378,89,68
123379,89,59
123380,212,92
123381,892,82
123382,89,62
123383,709,96
123384,610,27
123385,89,63
123386,233,32
123388,178,79
123389,246,93
123390,178,88
123391,466,28
123392,884,72
123393,610,25
123394,178,85
123395,897,65
123396,777,93
123397,246,94
123398,314,97
123399,610,26
123401,889,53
123402,675,97
123403,897,65
123404,89,60
123405,610,30
123406,89,50
123407,552,98
123408,858,83
123409,923,49
123410,89,78
123411,610,30
123412,905,72
123413,89,64
123414,675,98
123415,89,60
123416,897,65
123417,610,27
123419,607,100
123420,233,37
123421,178,82
123422,811,91
123423,450,100
123424,879,85
123425,518,98
123426,89,64
123427,518,99
123428,892,80
123429,484,100
123430,233,43
123431,233,40
123432,280,96
123433,610,27
123434,826,40
123435,843,33
123436,466,25
123437,910,56
123438,858,84
123439,233,31
123440,573,100
123441,843,34
123442,484,99
123444,884,70
123445,847,44
123446,777,94
123447,314,97
123448,89,63
123449,884,70
123450,233,32
123451,178,90
123452,811,91
123453,89,67
123454,889,52
123455,539,99
123456,450,100
123457,246,94
123458,89,59
123459,89,74
123460,843,39
123461,450,99
123462,89,66
123463,910,59
123464,607,98
123465,89,64
123466,89,74
123467,897,64
123468,246,94
123469,178,86
123470,348,98
123471,225,97
123472,382,99
123473,466,25
123474,610,32
123475,897,66
123476,233,39
123477,89,56
123478,892,80
123479,897,64
123480,843,39
123481,484,100
123482,847,44
123483,233,31
123484,233,43
123485,858,83
123486,89,71
123487,89,70
123488,790,89
123489,610,25
123490,178,84
123491,845,90
123492,892,80
123493,897,62
123494,843,38
123495,89,83
123496,89,56
123497,233,39
123498,314,97
123499,881,39
123500,610,25
123501,416,99
123502,843,35
123503,89,75
123504,233,40
123505,382,99
123506,709,97
123507,610,27
123508,607,100
123509,847,44
123510,89,55
123511,233,44
123512,89,64
123514,858,85
123515,615,71
123516,233,38
123517,466,28
123518,918,65
123519,824,89
123520,89,74
123521,89,61
123522,610,25
123523,89,70
123524,610,27
123525,889,52
123526,178,86
123527,897,61
123528,539,100
123530,902,47
123531,910,57
123532,881,42
123533,466,27
123534,843,36
123535,910,55
123536,876,62
123537,89,48
123540,233,36
123541,881,42
123543,675,98
123544,89,71
123545,889,54
123546,881,42
125790,233,32
125791,918,68
125792,382,98
125793,280,94
125794,233,29
125795,897,63
125796,931,56
125797,826,40
125798,484,100
125799,845,90
125800,902,44
125801,178,89
125802,879,86
125803,178,89
125804,212,91
125805,233,32
125806,233,40
125807,89,46
125808,233,44
125809,745,78
125810,573,100
125811,931,59
125812,0,28
125813,813,40
125814,505,99
125816,89,24
125817,89,53
125818,826,38
125819,47,82
125820,233,42
125821,238,94
125822,843,35
125823,89,23
125824,178,82
125825,709,97
125828,89,58
125829,743,96
125830,766,54
125831,89,45
125832,711,44
125833,843,37
125834,466,30
125835,868,47
125836,233,44
125837,233,34
125838,892,81
125839,382,97
125840,902,44
125841,416,99
125843,233,30
125844,89,73
125845,923,49
125846,89,76
125847,782,21
125848,573,100
125849,89,65
125850,89,55
125851,89,53
125852,897,64
125853,123,80
125854,607,99
125855,884,59
125856,703,38
125857,0,73
125858,858,71
125859,89,74
125860,89,59
125862,89,68
125863,675,98
125864,233,31
125865,319,108
125866,484,100
125867,843,35
125868,510,72
125869,610,27
125870,843,36
125871,233,40
125872,5,77
125874,732,66
125875,89,66
125876,876,66
125877,918,66
125878,884,69
125879,871,77
125880,348,98
125881,826,40
125882,881,42
125883,737,37
125884,601,59
125885,905,73
125886,10,82
125887,10,79
125888,743,95
125889,0,77
125890,709,97
125891,233,29
125892,89,78
125893,233,39
125894,855,48
125895,798,68
125896,293,99
125897,89,55
125898,811,90
125899,233,32
125900,868,49
125901,466,33
125902,709,97
125903,374,97
125905,690,65
125906,233,50
125907,89,61
125908,610,28
125909,89,50
125910,868,47
125911,709,96
125912,610,26
125913,826,39
125914,745,90
125915,918,68
125916,610,28
125917,847,45
125918,123,87
125919,675,89
125920,154,77
125921,89,54
125923,918,69
125924,89,63
125925,610,29
125926,233,39
125927,607,99
125928,89,58
125929,89,67
125930,675,81
125931,858,84
125932,610,27
125933,314,96
125935,89,62
125936,811,91
125937,881,42
125938,748,83
125939,905,75
125940,855,55
125941,463,91
125942,326,24
125943,892,81
125944,845,90
125945,826,48
125946,756,83
125947,233,33
125948,233,29
125949,348,89
125950,0,75
125951,491,31
125952,89,29
125953,769,104
125954,497,92
125955,610,29
125956,233,39
125957,902,46
125958,382,99
125959,897,64
125960,902,44
125961,811,92
125962,610,30
125965,314,99
125966,871,77
125967,222,84
125968,89,49
125969,233,20
125970,931,62
125971,897,65
125973,764,67
125975,821,61
125976,610,27
125977,610,28
125978,586,97
125979,89,58
125980,233,39
125981,233,43
125982,847,43
125983,910,58
125984,233,31
125985,89,51
125986,436,42
125987,89,49
125988,178,85
125989,766,79
125990,178,88
125991,610,29
125992,233,36
125993,675,98
125994,18,83
125996,879,86
125998,89,29
125999,89,29
126000,233,29
126001,416,99
126002,89,48
126003,610,28
126004,463,103
126005,884,70
126006,834,69
126007,853,67
126008,819,63
126009,233,42
126010,178,84
126011,89,51
126012,910,56
126013,233,32
126014,178,84
126015,610,27
126016,212,92
126017,89,69
126018,225,84
126019,610,30
126020,89,64
126021,89,74
126022,897,60
126023,246,80
126024,845,87
126025,340,103
126026,889,50
126027,889,51
126028,89,21
126093,610,27
126094,879,87
126095,178,86
126096,876,66
130068,233,39
130069,931,59
130070,233,40
130071,607,99
130072,931,61
130073,843,38
130074,89,75
130076,96,13
130077,610,25
130078,89,65
130079,89,52
130080,843,38
130081,567,53
130082,675,98
130084,811,90
130086,879,86
130088,442,75
130089,233,42
130090,246,94
130092,466,27
130096,89,58
130097,826,39
130098,897,61
130101,450,97
130104,709,97
130105,233,32
130107,0,67
130108,910,55
130109,89,52
130110,178,86
130112,178,90
130113,843,36
130114,233,31
130116,89,79
130117,233,36
130118,884,71
132071,88,20
132072,80,22
132073,89,18
132074,67,21
132075,0,79
132076,533,32
132077,881,32
132078,429,77
132079,753,101
132082,481,112
132083,656,86
132084,233,73
132085,656,75
132086,89,62
132087,667,85
132088,648,71
132089,764,80
132090,656,80
132091,677,43
132092,580,65
132093,832,58
132094,0,68
132095,34,80
132096,156,20
132097,0,62
132098,0,74
132099,0,85
132101,525,58
132102,656,80
132103,614,66
132104,656,74
132105,326,37
132106,89,70
132107,340,72
132108,65,80
132109,0,76
132110,233,27
132111,706,92
132113,67,22
132114,89,71
132115,610,16
132116,233,37
132117,233,63
132118,31,83
132119,67,11
132120,264,70
132121,233,17
132122,633,75
132123,635,67
132125,178,30
132126,546,59
132127,65,81
132128,565,71
132129,0,77
132130,387,70
132131,89,66
132132,0,71
132133,99,78
132136,648,66
132137,277,80
132138,366,78
132139,622,65
132140,15,73
132141,730,75
132142,0,66
132143,232,17
132144,96,14
132145,44,87
132146,224,30
132147,233,47
132148,332,74
132149,89,65
132150,745,81
132151,0,69
132152,381,39
132154,745,96
132155,690,30
132156,706,86
132157,408,69
132158,89,72
132159,601,65
132161,415,29
132162,402,31
132163,7,75
132164,39,75
132165,89,42
132166,0,15
132167,2,76
132168,353,71
132169,245,22
132170,89,11
132171,18,85
132172,233,43
132173,724,41
132174,89,74
132175,148,30
132177,0,69
132178,169,15
132179,544,86
132180,465,17
132181,12,16
132182,745,86
132183,0,70
132184,0,80
132185,764,66
132186,54,25
132188,580,67
132189,808,91
132190,224,25
132191,89,81
132192,442,73
132193,656,67
132194,0,81
132195,722,56
132196,656,76
132197,764,64
132199,866,74
132200,690,77
132201,690,85
132202,567,44
132203,233,62
132204,253,11
132205,89,80
132206,89,77
132207,135,22
132208,10,74
132209,656,77
132210,0,87
132211,89,77
132212,656,82
132213,489,72
132214,277,93
132215,675,75
132216,233,22
132217,887,52
132218,622,71
132219,120,72
132220,0,77
132221,89,26
132222,696,66
132223,622,54
132224,233,31
132225,0,72
132226,601,22
132228,122,21
132229,31,92
132230,319,71
132232,89,71
132233,622,77
132234,743,63
132235,610,42
132236,648,71
132237,89,16
132238,99,77
132239,745,85
132240,177,19
132241,101,21
132242,656,57
132243,178,86
132244,732,37
132246,656,78
132247,46,20
132248,648,44
132249,347,38
132356,86,82
132357,233,37
132358,892,79
132359,905,76
132360,89,66
132361,868,47
132362,233,22
132363,900,55
132364,178,83
132365,610,28
132367,233,37
132368,188,86
132369,89,69
132370,178,86
132371,610,27
132372,89,72
132373,457,34
132374,246,93
132375,777,94
132376,675,82
132377,811,92
132378,826,39
132379,588,53
132380,233,41
132381,178,86
132383,178,87
132384,610,28
132385,175,80
132386,348,97
132387,811,91
132388,89,23
132389,233,61
132390,654,65
132391,918,69
132392,811,91
132393,233,43
132394,858,86
132395,246,93
132396,484,99
132397,466,27
132398,416,99
132399,141,76
132400,382,99
132401,484,100
132402,610,30
132403,89,51
132404,868,47
132405,573,100
132406,811,92
132407,246,93
132408,843,39
132409,824,88
132410,233,42
132411,10,77
132412,89,55
132413,876,49
132414,233,37
132415,89,61
132416,466,28
132417,889,53
132418,246,93
132419,918,59
132421,610,28
132422,178,89
132423,120,73
132424,601,55
132425,167,85
132426,905,72
132427,89,81
132428,845,88
132429,905,76
132430,843,37
132431,233,44
132432,918,64
132433,918,60
132434,178,84
132435,847,41
132436,89,61
132437,675,86
132438,233,42
132439,233,42
132441,233,30
132442,737,40
132443,466,27
132444,887,59
132445,120,73
132446,293,97
132447,931,60
132448,233,38
132449,484,101
132450,889,52
132451,89,81
132452,918,68
132453,711,94
132454,233,30
132455,233,39
132456,233,48
132457,233,33
132458,889,49
132459,233,29
132460,191,91
134120,897,65
134121,610,32
134122,889,52
134123,89,57
134124,910,56
134125,89,76
134126,233,30
134127,826,36
134128,905,73
134129,178,85
134130,233,42
134131,233,39
134132,233,29
134133,178,86
134134,876,60
134135,610,32
134136,86,82
134137,910,54
134138,233,39
134139,610,28
134140,696,89
134141,837,86
134142,68,80
134143,89,46
134144,395,95
134145,89,50
134146,897,62
134147,233,48
134148,845,90
134149,34,78
134150,868,47
134151,89,63
134152,233,26
134153,89,66
134154,416,100
134155,889,55
134156,610,26
134157,484,100
134158,897,61
134159,178,75
134160,450,99
134161,233,30
134162,178,85
134163,853,66
134164,178,86
134165,233,29
134166,89,82
134167,897,63
134168,709,97
134169,89,77
134170,610,29
134171,610,27
134172,89,52
134173,855,68
134174,89,51
134935,541,32
134936,635,64
134937,703,75
134938,201,87
134939,0,79
134940,913,63
134941,669,70
134943,449,32
134944,580,54
134946,233,41
134947,847,23
134948,319,78
134949,588,73
134950,785,66
134951,169,19
134952,34,71
134953,133,79
134954,751,68
134955,669,77
134957,0,74
134958,290,83
136505,89,54
136506,233,49
136507,466,28
136508,233,31
136509,843,37
136510,89,84
136511,178,88
136512,89,56
136513,931,59
136514,847,40
136515,233,38
136516,879,87
136517,850,76
136518,89,67
136519,233,45
136520,847,44
136521,897,61
136522,233,30
136523,157,91
136524,690,68
136525,0,14
136526,314,97
136527,889,53
136528,0,21
136530,382,99
136531,610,31
136532,233,41
136533,855,55
136534,497,76
136535,178,86
136536,910,57
136537,233,27
136538,89,64
136541,939,64
136542,89,61
136543,879,86
136545,910,58
136546,233,40
136547,610,23
136549,682,67
136551,505,98
136552,855,65
136553,610,31
136554,610,24
136555,610,28
136556,518,101
136557,470,34
136558,910,57
136559,89,63
136560,89,64
136561,178,82
136563,610,29
136564,89,84
136565,233,29
136566,905,76
136567,709,96
136569,832,78
136570,897,57
136572,89,81
136573,855,59
136574,259,95
136575,178,83
136576,348,98
136577,610,30
136579,123,85
136580,858,84
136583,843,36
136584,889,52
136585,157,92
136586,233,29
136587,89,59
136588,910,58
136589,879,85
136590,89,63
136591,881,41
136592,871,82
136593,889,51
136594,607,100
136595,610,27
136596,89,83
136597,586,98
136598,233,44
136599,233,28
136600,826,40
136601,892,82
136603,868,48
136605,89,23
136606,892,80
136607,842,63
136608,892,83
136609,89,53
136610,905,73
136611,858,79
136612,808,59
136613,178,89
136614,149,85
136615,233,30
136616,897,58
136617,918,63
136618,610,27
136619,233,31
136620,233,40
136622,868,37
136623,89,62
136624,842,67
136625,233,30
136626,89,60
136627,845,88
136628,246,92
136629,89,64
136630,327,101
136631,743,96
136632,89,78
136633,233,38
136635,843,38
136636,233,38
136638,889,51
136639,178,87
136640,610,29
136641,0,79
136642,610,32
136643,89,60
136644,178,86
136645,610,27
141293,722,59
141294,439,104
141296,466,37
141297,81,55
141298,719,45
141299,233,29
141301,128,61
141303,89,25
141304,510,69
141305,233,36
141306,233,57
141307,233,38
141309,80,19
141310,293,63
141311,18,22
141312,554,110
141313,447,77
141314,0,19
141316,745,82
141317,884,70
141318,233,24
141319,123,38
141320,347,41
141321,751,72
141322,180,84
141324,89,30
141325,0,68
141326,680,56
141327,5,72
141328,703,85
141329,89,87
141330,764,66
141331,651,67
141332,436,37
141333,610,27
141334,596,79
141335,222,85
141336,575,42
141337,567,51
141338,696,63
141339,305,43
141340,622,74
141341,656,60
141342,562,79
141343,837,19
141344,905,72
141345,125,86
141346,89,90
141347,138,94
141348,91,87
141349,7,28
141350,20,34
141351,743,95
141352,402,41
141353,0,77
141354,78,80
141355,0,62
141356,303,91
141357,49,99
141358,610,67
141359,322,45
141360,0,16
141361,89,29
141364,510,69
141365,99,88
141366,449,41
141367,536,73
141368,549,69
141369,575,45
141370,46,29
141371,622,74
141372,617,13
141373,777,63
141374,782,51
141375,648,72
141376,609,84
141377,193,7
141378,0,62
141379,580,69
141512,356,61
141513,246,57
141514,18,25
141515,853,55
141516,233,43
141517,89,77
141518,326,28
141520,575,68
141521,233,20
141522,643,102
141523,159,96
141525,701,57
141526,599,70
141528,227,98
141529,99,78
141531,701,64
141532,20,109
141533,609,69
141534,0,22
141535,89,78
141537,177,116
141538,13,33
141539,554,37
141540,73,66
141541,643,107
141542,423,38
141543,89,22
141544,617,51
141545,60,54
141546,764,61
141547,0,54
141548,607,71
141549,347,38
141551,610,63
141552,633,65
141553,26,56
141554,112,86
141556,573,67
141557,709,64
141558,601,60
141559,476,68
141560,73,62
141561,89,25
141562,123,40
141563,123,41
141564,0,61
141566,123,39
141567,65,74
141568,554,47
141569,358,84
141570,766,86
141571,89,96
141572,18,67
141573,2,71
141574,233,33
141575,68,43
141576,214,86
141577,89,50
141578,233,60
141579,507,102
141580,455,70
141581,457,41
141582,735,56
141583,115,55
141584,703,77
141586,313,36
141587,340,70
141588,528,81
141589,5,46
141590,99,76
141591,436,40
141592,601,69
141593,26,32
141594,546,57
141595,233,64
141596,233,57
141597,829,92
141598,277,78
141599,347,40
141600,301,61
141601,824,47
141602,300,24
141603,18,69
141604,638,58
141605,491,55
141606,819,58
141607,162,69
141608,2,69
141609,15,54
141610,664,104
141611,89,15
141612,470,53
141613,473,101
141614,664,15
141615,233,10
141616,698,94
141617,313,31
141618,609,50
141620,614,67
141621,7,82
141622,0,29
141623,0,63
141624,656,86
141625,565,73
141627,31,64
141628,470,53
141630,374,68
141631,316,98
142978,468,71
142979,853,61
142980,800,85
142981,233,24
142982,724,88
142983,588,70
142984,610,27
142985,690,74
142986,209,72
142987,764,62
142988,301,57
142989,743,94
142990,635,72
142991,89,22
142992,921,44
142993,245,24
142994,764,60
142995,418,98
142996,12,61
142997,554,36
142998,135,28
142999,123,42
143000,811,90
143001,89,78
143002,178,88
143003,832,52
143004,326,41
143005,65,73
143006,533,46
143007,512,51
143008,0,67
143009,478,42
143010,819,58
143011,690,93
143012,457,45
143013,188,77
143014,0,69
143015,89,69
143016,335,59
143017,31,11
143018,677,45
143019,178,46
143020,724,74
143021,436,46
143022,360,44
143023,233,41
143024,643,86
143025,489,70
143026,690,41
143027,256,82
143028,745,92
143029,89,60
143030,871,77
143031,858,82
143032,89,39
143033,264,76
143034,533,46
143035,466,50
