# id,sphere,gamma
103207,607,98
103208,610,34
103209,484,98
103210,450,98
103211,847,43
103212,641,98
103213,843,35
103214,641,97
103215,610,26
103216,777,91
103217,573,98
103218,610,34
103219,641,97
103220,484,99
103221,450,99
103222,777,92
103223,607,98
103224,843,36
103225,573,98
103226,484,97
103227,847,44
103228,518,99
103229,416,98
103230,868,48
103231,607,98
103232,610,34
103233,607,98
103234,450,98
103235,675,97
103236,845,88
103237,607,98
103238,610,29
103239,826,39
103240,743,93
103241,777,90
103242,610,37
103243,607,95
103244,843,38
103245,610,37
103246,573,95
103247,843,38
103248,843,36
103249,353,88
103250,332,86
103251,843,36
103252,450,98
103253,573,95
103254,314,95
103255,607,95
103256,607,95
103257,348,96
103258,361,96
103259,552,95
103260,416,97
103261,484,95
103262,484,95
103263,382,96
103264,552,94
103265,416,96
103266,843,36
103267,811,89
103268,811,89
103270,610,35
103271,610,36
103272,641,94
103273,518,94
103274,382,95
103275,382,95
103276,416,96
103277,416,96
103278,610,32
103279,382,96
103280,610,32
103281,610,30
103282,610,33
103283,382,95
103284,610,31
103285,610,31
103286,610,32
103287,610,29
103288,539,96
103289,610,34
103290,641,97
103291,198,40
103292,610,36
103294,573,97
103295,843,36
103296,675,97
103297,374,94
103298,552,97
103299,610,34
103300,607,98
103301,843,37
103302,573,98
103303,843,36
103304,552,98
103305,843,37
103306,233,27
103307,843,36
103308,518,98
103309,843,35
103310,484,97
103311,610,35
103312,573,98
103313,843,37
103315,843,36
103316,709,97
103317,610,28
103318,843,35
103319,463,95
103320,843,35
103321,466,28
103322,843,35
103323,484,98
103324,843,36
103325,248,68
103327,484,98
103328,843,35
103329,607,98
103330,484,97
103331,843,38
103332,450,97
103333,843,35
103334,466,29
103335,843,36
103336,466,27
103337,610,35
103338,466,27
103339,843,36
103340,450,96
103341,607,95
103342,610,36
103343,484,96
103344,610,36
103345,843,37
103346,416,95
103347,843,38
103348,610,28
103349,450,95
103350,843,36
103351,450,95
103352,610,27
103353,610,30
103354,484,95
103355,610,29
103356,450,98
103357,382,94
103358,292,29
103359,416,95
103360,450,96
103361,484,96
103362,484,96
103363,416,96
103364,450,95
103365,416,97
103366,484,95
103367,610,30
103368,505,94
103369,450,95
103370,416,95
103372,610,36
103373,416,94
103374,416,97
103375,610,32
103376,361,92
103377,610,36
103378,450,95
103379,843,37
103380,610,31
103381,610,36
103382,610,30
103383,610,30
103384,450,96
103385,214,68
103386,416,97
103388,348,96
103389,449,29
103390,416,96
103391,843,37
103392,314,95
103393,843,38
103394,450,96
103395,416,97
103396,484,95
105193,510,68
105194,512,52
105195,455,74
105196,567,61
105197,512,51
105198,510,68
105199,567,50
105200,510,69
105201,512,51
105202,478,37
105203,366,78
105204,478,46
105205,567,61
105206,512,52
105207,512,49
105209,567,51
105210,565,69
105211,510,71
105212,455,71
105213,311,76
105215,512,51
105216,567,58
105217,567,63
105218,476,71
105219,366,71
105220,311,73
105221,478,42
105222,478,44
105223,533,50
105224,567,56
105225,567,60
105226,476,72
105227,421,74
105228,476,76
105229,476,73
105230,620,69
105231,533,46
105232,567,50
105233,533,49
105234,478,44
105235,478,45
105236,567,49
105237,533,44
105238,565,69
105239,675,65
105240,620,67
105241,533,47
105242,533,48
105243,565,71
105244,478,44
105245,620,68
105246,533,47
105247,565,67
105248,533,47
105249,533,50
105250,478,42
105251,620,67
105252,567,48
105253,565,70
105254,478,43
105255,620,68
105256,567,48
105257,478,43
105258,512,43
105259,478,35
105260,311,79
105261,533,47
105262,510,71
105263,366,77
105264,567,43
105265,510,72
105266,567,51
105267,455,74
105268,533,39
105269,567,51
105270,510,69
105271,400,78
105272,588,47
105273,622,57
105274,567,48
105275,400,77
105276,533,37
105277,620,66
105278,533,46
105279,489,75
105280,478,40
105281,345,78
105282,567,48
105283,489,70
105284,478,37
105285,311,81
105286,567,47
105287,455,75
105288,544,70
105290,510,68
105291,567,48
105292,455,75
105293,478,38
105294,345,81
105295,567,46
105296,510,70
105297,567,51
105298,533,46
105299,544,74
105300,311,80
105301,567,41
105302,565,68
105303,544,73
105304,567,47
105305,510,74
105306,512,41
105307,455,78
105643,610,30
105644,610,30
105645,610,33
105646,610,32
105647,450,97
105648,610,34
105649,450,97
105650,610,35
105651,293,100
105652,416,93
105653,416,94
105654,382,93
105655,382,92
105656,843,33
105657,610,34
105658,416,98
105659,843,35
105660,416,96
105661,416,97
105662,348,95
105663,298,88
105664,610,26
105665,395,96
105666,256,78
105667,450,98
105668,416,98
105669,450,98
105670,610,27
105671,610,29
105673,466,22
105674,450,98
105676,272,107
105677,387,106
105678,332,106
105679,353,106
105680,610,34
105681,610,32
105682,610,30
105683,374,102
105684,610,36
105685,450,97
105686,306,104
105687,610,36
105688,361,103
105689,610,30
105690,306,105
105691,610,34
105692,172,58
105693,348,96
105694,610,25
105696,610,28
105697,340,102
105698,610,30
105699,610,32
105700,256,77
105701,610,26
105702,610,30
105703,361,101
105704,610,31
105705,361,100
105706,610,31
105707,306,100
105708,610,32
105709,610,30
105710,306,103
105712,610,29
105713,450,98
105714,610,31
105715,610,31
105716,610,33
105717,610,34
105718,610,27
105719,610,36
105720,610,26
105721,610,27
105722,610,26
105723,610,36
105724,610,29
105725,463,97
105726,610,30
105727,610,26
105728,610,32
105729,610,32
105730,610,29
105731,610,29
105732,610,29
105733,610,31
105734,610,37
105735,326,22
105736,610,30
105737,610,29
105738,610,29
105739,610,27
105740,610,30
105742,610,29
105743,610,31
105744,610,30
105745,610,30
105746,610,30
105748,610,30
105749,610,28
105750,610,29
105751,610,27
105752,466,28
105753,552,97
105754,610,29
105755,610,36
105756,298,98
105757,610,29
105758,466,28
105759,610,30
105760,610,28
105761,610,30
105762,610,26
105763,610,29
105764,610,28
108817,408,94
108818,607,97
108820,610,31
108821,610,36
108822,607,97
108823,610,36
108824,573,96
108825,450,95
108827,610,36
108828,843,39
108829,246,90
108830,539,97
108831,641,95
108832,573,97
108833,610,35
108834,843,39
108835,466,30
108837,539,96
108838,212,87
108839,610,31
108840,314,95
108841,246,91
108842,573,96
108843,246,91
108844,539,97
108845,843,38
108846,573,97
108847,225,92
108848,178,88
108849,484,96
108850,280,94
108851,450,96
108852,246,92
108853,484,97
108854,280,93
108855,280,92
108856,450,98
108857,450,95
108858,246,92
108859,246,91
108860,518,97
108861,348,95
108862,484,98
108863,246,92
108864,348,94
108865,361,94
108866,607,96
108867,450,97
108868,607,98
108869,610,32
108870,246,90
108871,269,73
108872,843,36
108873,466,28
108874,610,33
108875,641,97
108876,314,94
108877,314,93
108878,843,39
108879,185,48
108880,843,36
108881,484,98
108926,843,40
108927,466,28
108928,233,30
108929,212,88
108930,610,28
108931,233,31
108932,178,87
108933,843,40
108934,843,40
108935,843,40
108937,610,28
108938,709,95
108939,709,94
108940,709,95
108941,843,39
108942,843,40
108943,610,28
108944,654,94
108945,610,28
108946,178,87
108947,466,28
108948,881,42
108949,607,99
108950,826,43
108951,497,97
108952,826,42
108954,641,98
108955,826,41
108956,607,98
108957,843,40
108958,552,98
108959,843,39
108961,552,98
108962,497,94
108963,843,40
108964,843,40
108965,826,41
108966,826,40
108967,826,41
108968,826,41
108969,826,41
108970,826,41
108971,826,41
108972,826,41
108973,826,41
108974,826,40
108975,826,41
108976,466,28
108977,466,27
108978,826,40
108979,466,28
108981,573,98
108982,843,40
108983,573,98
108984,843,39
108985,573,99
108986,843,40
108987,552,98
108988,178,87
108989,269,75
108990,178,87
108991,573,98
108992,178,86
108993,518,98
108994,843,41
108995,552,98
108996,466,27
108997,387,91
108998,212,89
108999,843,40
112528,512,46
112529,478,45
112530,512,49
112531,478,49
112532,567,56
112533,512,54
112534,533,53
112535,478,45
112536,533,49
112537,533,54
112538,533,46
112539,533,46
112540,533,49
112541,567,59
116809,641,97
116810,607,97
116812,709,94
116813,641,96
116814,641,97
116816,641,98
116817,847,49
116820,834,52
116821,889,54
116822,675,93
116823,889,55
116824,889,58
116825,855,58
116826,855,55
116827,855,57
116828,876,58
116829,855,57
116830,855,57
116831,855,57
116832,855,57
116833,876,58
116834,876,58
116835,855,58
116836,855,57
116837,910,57
116838,910,58
116839,876,58
116840,876,59
116841,876,59
116842,876,59
116843,910,59
116844,876,59
116845,855,57
116846,910,57
116847,855,58
116848,910,58
116849,910,58
116850,910,59
116851,889,56
116852,855,58
116853,855,56
116854,834,54
123363,185,46
123364,610,32
123365,843,38
123366,332,88
123367,293,94
123368,466,27
123369,843,35
123370,573,98
123371,843,35
123372,607,98
123373,193,61
123374,518,98
123375,843,37
123376,484,98
123377,843,37
123378,314,94
123379,641,98
123380,843,37
123381,164,42
123382,843,35
123383,497,95
123384,843,36
123385,290,79
123386,843,37
123388,212,89
123389,293,94
123390,641,98
123391,843,34
123392,353,93
123393,610,32
123394,214,64
123395,610,28
123396,843,37
123397,610,33
123398,843,38
123399,610,33
123401,709,96
123402,206,56
123403,607,98
123404,607,98
123405,607,98
123406,552,97
123407,607,98
123408,607,98
123409,573,98
123410,573,99
123411,573,97
123412,466,28
123413,518,98
123414,610,32
123415,212,90
123416,314,95
123417,610,32
123419,280,94
123420,610,33
123421,610,31
123422,610,32
123423,843,37
123424,843,37
123425,843,37
123426,610,32
123427,610,33
123428,610,32
123429,610,32
123430,314,95
123431,610,32
123432,610,32
123433,610,32
123434,610,30
123435,610,33
123436,843,33
123437,610,31
123438,610,30
123439,610,33
123440,246,92
123441,212,90
123442,843,38
123444,843,38
123445,610,32
123446,610,32
123447,610,32
123448,314,95
123449,610,31
123450,610,31
123451,314,96
123452,610,29
123453,610,31
123454,610,32
123455,348,96
123456,314,95
123457,238,92
123458,610,32
123459,314,95
123460,610,31
123461,610,31
123462,610,32
123463,610,31
123464,314,95
123465,843,34
123466,610,31
123467,293,94
123468,204,89
123469,843,35
123470,843,36
123471,610,31
123472,843,36
123473,843,37
123474,610,30
123475,610,33
123476,314,94
123477,843,36
123478,843,34
123479,843,37
123480,843,35
123481,314,94
123482,843,36
123483,843,35
123484,280,91
123485,843,35
123486,843,36
123487,610,33
123488,843,36
123489,843,37
123490,843,36
123491,843,36
123492,843,36
123493,843,36
123494,843,36
123495,843,36
123496,843,36
123497,843,37
123498,843,35
123499,843,35
123500,843,35
123501,843,35
123502,610,35
123503,610,32
123504,843,34
123505,843,34
123506,843,35
123507,610,32
123508,843,36
123509,843,39
123510,826,39
123511,610,30
123512,450,99
123514,610,31
123515,610,32
123516,610,32
123517,225,95
123518,89,34
123519,233,36
123520,675,97
123521,743,95
123522,743,93
123523,641,98
123524,610,33
123525,280,95
123526,233,36
123527,233,35
123528,233,38
123530,280,94
123531,457,32
123532,280,93
123533,233,35
123534,233,38
123535,233,36
123536,233,34
123537,610,31
123540,238,92
123541,280,91
123543,233,35
123544,610,31
123545,233,36
123546,233,38
125790,641,99
125791,610,28
125792,348,97
125793,246,92
125794,607,99
125795,843,35
125796,382,97
125797,610,34
125798,348,96
125799,843,37
125800,843,37
125801,722,93
125802,610,27
125803,641,99
125804,280,93
125805,382,98
125806,843,36
125807,610,32
125808,466,28
125809,610,31
125810,347,33
125811,610,31
125812,314,94
125813,416,96
125814,382,97
125816,641,98
125817,314,93
125818,607,98
125819,280,93
125820,280,94
125821,348,95
125822,641,96
125823,225,92
125824,259,96
125825,360,28
125828,314,95
125829,193,62
125830,314,95
125831,573,97
125832,314,94
125833,620,96
125834,610,32
125835,675,96
125836,246,91
125837,610,29
125838,280,94
125839,259,95
125840,610,31
125841,164,45
125843,314,95
125844,280,95
125845,246,91
125846,212,92
125847,843,39
125848,843,37
125849,610,28
125850,348,95
125851,280,93
125852,280,93
125853,314,93
125854,259,95
125855,280,93
125856,416,98
125857,266,36
125858,237,30
125859,843,35
125860,843,35
125862,843,34
125863,610,28
125864,314,94
125865,610,28
125866,843,36
125867,610,32
125868,843,37
125869,610,32
125870,843,38
125871,610,28
125872,847,42
125874,610,30
125875,610,28
125876,843,38
125877,233,28
125878,610,32
125879,610,29
125880,610,28
125881,826,39
125882,610,27
125883,843,37
125884,610,28
125885,466,27
125886,610,29
125887,466,29
125888,610,31
125889,610,28
125890,610,28
125891,843,37
125892,610,32
125893,843,36
125894,610,28
125895,610,33
125896,843,37
125897,610,31
125898,826,37
125899,641,99
125900,610,27
125901,610,31
125902,610,32
125903,610,29
125905,843,35
125906,610,27
125907,233,28
125908,843,35
125909,843,34
125910,610,29
125911,610,28
125912,348,96
125913,641,96
125914,675,95
125915,573,97
125916,675,96
125917,552,98
125918,641,96
125919,709,94
125920,573,96
125921,607,96
125923,573,96
125924,641,95
125925,178,87
125926,178,87
125927,607,96
125928,675,96
125929,607,96
125930,641,97
125931,484,98
125932,518,98
125933,675,96
125935,641,96
125936,843,38
125937,282,66
125938,607,97
125939,641,97
125940,450,99
125941,518,96
125942,573,98
125943,607,99
125944,573,98
125945,573,98
125946,743,95
125947,709,95
125948,599,93
125949,641,97
125950,573,98
125951,573,98
125952,675,95
125953,552,99
125954,518,99
125955,709,96
125956,552,98
125957,539,98
125958,292,28
125959,484,100
125960,573,99
125961,484,99
125962,484,100
125965,463,96
125966,843,34
125967,463,96
125968,610,32
125969,641,99
125970,361,99
125971,843,33
125973,610,25
125975,233,27
125976,233,32
125977,843,35
125978,233,29
125979,233,29
125980,843,35
125981,688,94
125982,843,37
125983,233,32
125984,233,33
125985,843,33
125986,843,36
125987,607,98
125988,466,29
125989,233,30
125990,233,31
125991,826,41
125992,466,28
125993,843,37
125994,466,29
125996,868,49
125998,233,31
125999,709,97
126000,233,29
126001,709,96
126002,868,47
126003,667,91
126004,610,31
126005,843,38
126006,675,98
126007,552,99
126008,559,30
126009,868,46
126010,610,27
126011,641,98
126012,847,45
126013,518,99
126014,826,39
126015,610,29
126016,667,91
126017,843,35
126018,610,26
126019,843,33
126020,233,29
126021,484,98
126022,382,96
126023,348,96
126024,314,95
126025,348,96
126026,450,97
126027,450,97
126028,416,97
126093,280,93
126094,314,94
126095,280,93
126096,610,34
130068,610,33
130069,843,38
130070,607,98
130071,610,33
130072,843,39
130073,552,99
130074,843,37
130076,709,96
130077,610,34
130078,709,96
130079,843,36
130080,843,39
130081,573,99
130082,843,36
130084,843,35
130086,610,27
130088,610,29
130089,843,38
130090,610,29
130092,290,78
130096,610,29
130097,843,38
130098,610,28
130101,843,37
130104,826,39
130105,610,29
130107,843,38
130108,610,28
130109,843,37
130110,610,28
130112,610,29
130113,843,37
130114,610,29
130116,610,28
130117,843,37
130118,610,29
132071,567,56
132072,421,74
132073,510,69
132074,332,77
132075,510,70
132076,567,56
132077,332,77
132078,567,54
132079,510,70
132082,567,55
132083,421,74
132084,366,75
132085,510,70
132086,567,56
132087,546,45
132088,421,73
132089,599,67
132090,601,62
132091,421,73
132092,565,68
132093,565,69
132094,565,70
132095,421,75
132096,565,71
132097,476,74
132098,565,72
132099,546,60
132101,546,61
132102,546,63
132103,510,72
132104,510,70
132105,510,72
132106,510,73
132107,421,76
132108,565,70
132109,601,62
132110,601,66
132111,510,70
132113,510,72
132114,565,72
132115,476,75
132116,601,61
132117,546,61
132118,546,61
132119,565,70
132120,565,70
132121,601,63
132122,565,69
132123,510,71
132125,601,61
132126,565,68
132127,546,62
132128,546,62
132129,546,66
132130,565,69
132131,421,73
132132,476,72
132133,546,63
132136,546,61
132137,546,62
132138,565,69
132139,476,73
132140,599,67
132141,510,71
132142,476,74
132143,510,69
132144,567,55
132145,510,70
132146,353,77
132147,601,50
132148,510,71
132149,567,55
132150,455,72
132151,510,69
132152,567,54
132154,567,53
132155,353,78
132156,510,74
132157,567,55
132158,601,46
132159,510,72
132161,567,50
132162,510,71
132163,601,49
132164,387,76
132165,565,70
132166,601,48
132167,580,42
132168,565,70
132169,455,73
132170,567,56
132171,510,71
132172,353,76
132173,601,52
132174,567,58
132175,476,73
132177,421,74
132178,567,53
132179,510,70
132180,601,48
132181,510,71
132182,387,77
132183,567,53
132184,580,42
132185,510,72
132186,567,55
132188,510,71
132189,567,54
132190,387,75
132191,510,70
132192,567,53
132193,544,69
132194,455,72
132195,601,52
132196,599,67
132197,510,71
132199,654,67
132200,620,67
132201,546,58
132202,546,59
132203,546,60
132204,546,61
132205,546,59
132206,546,59
132207,546,58
132208,546,58
132209,546,60
132210,546,53
132211,601,59
132212,546,58
132213,546,58
132214,546,57
132215,546,58
132216,601,60
132217,601,59
132218,510,72
132219,654,67
132220,620,67
132221,565,71
132222,510,71
132223,510,68
132224,565,69
132225,601,59
132226,546,60
132228,546,60
132229,601,58
132230,565,68
132232,565,68
132233,620,66
132234,546,62
132235,546,61
132236,546,60
132237,546,60
132238,546,60
132239,546,60
132240,546,59
132241,546,59
132242,546,59
132243,546,58
132244,546,58
132246,546,59
132247,546,61
132248,546,61
132249,601,63
132356,466,28
132357,709,95
132358,233,31
132359,843,41
132360,610,27
132361,610,29
132362,641,97
132363,826,40
132364,466,29
132365,610,28
132367,826,41
132368,610,29
132369,233,32
132370,847,45
132371,565,94
132372,233,30
132373,466,29
132374,709,94
132375,826,41
132376,206,56
132377,610,28
132378,709,95
132379,826,42
132380,610,27
132381,233,26
132383,466,29
132384,826,42
132385,610,27
132386,466,28
132387,675,96
132388,826,44
132389,889,53
132390,466,28
132391,610,29
132392,826,42
132393,607,98
132394,610,28
132395,826,42
132396,610,27
132397,233,33
132398,610,31
132399,826,42
132400,466,29
132401,826,43
132402,610,27
132403,233,29
132404,826,42
132405,466,28
132406,303,70
132407,654,95
132408,233,30
132409,233,31
132410,610,27
132411,233,25
132412,675,98
132413,607,99
132414,868,46
132415,868,49
132416,868,48
132417,868,48
132418,868,48
132419,868,48
132421,868,49
132422,868,48
132423,868,49
132424,868,49
132425,868,49
132426,868,48
132427,868,48
132428,233,28
132429,233,27
132430,847,44
132431,868,45
132432,641,97
132433,847,44
132434,826,42
132435,233,30
132436,847,44
132437,868,48
132438,233,29
132439,868,48
132441,868,49
132442,868,49
132443,675,97
132444,868,48
132445,233,31
132446,868,48
132447,675,97
132448,868,48
132449,675,96
132450,868,49
132451,620,95
132452,868,48
132453,675,97
132454,868,45
132455,641,97
132456,847,46
132457,641,97
132458,233,29
132459,610,27
132460,843,42
134120,466,30
134121,233,30
134122,610,37
134123,843,36
134124,269,70
134125,361,91
134126,416,95
134127,327,93
134128,382,95
134129,416,95
134130,361,92
134131,395,93
134132,361,95
134133,416,95
134134,361,94
134135,361,95
134136,361,96
134137,361,95
134138,361,96
134139,416,96
134140,361,95
134141,382,95
134142,361,95
134143,361,92
134144,416,96
134145,382,95
134146,416,96
134147,416,97
134148,416,96
134149,416,97
134150,416,96
134151,416,96
134152,416,96
134153,416,96
134154,361,93
134155,416,96
134156,416,96
134157,382,96
134158,416,95
134159,416,96
134160,382,96
134161,416,96
134162,416,96
134163,416,93
134164,361,91
134165,416,95
134166,361,92
134167,416,95
134168,416,96
134169,416,96
134170,416,94
134171,416,94
134172,382,95
134173,416,95
134174,416,95
134935,843,42
134936,826,43
134937,826,43
134938,826,43
134939,826,43
134940,826,44
134941,843,42
134943,826,43
134944,826,43
134946,847,44
134947,847,44
134948,847,43
134949,847,45
134950,847,44
134951,847,46
134952,847,44
134953,847,43
134954,847,43
134955,847,43
134957,847,44
134958,847,44
136505,610,26
136506,233,29
136507,178,85
136508,610,27
136509,178,85
136510,233,35
136511,868,46
136512,233,38
136513,178,82
136514,610,27
136515,178,89
136516,233,36
136517,466,29
136518,178,88
136519,233,36
136520,89,73
136521,610,27
136522,191,89
136523,233,36
136524,178,83
136525,233,29
136526,178,81
136527,233,32
136528,178,83
136530,178,86
136531,233,35
136532,89,79
136533,466,27
136534,191,89
136535,466,27
136536,89,77
136537,466,30
136538,191,90
136541,610,26
136542,826,40
136543,552,98
136545,792,38
136546,620,99
136547,484,100
136549,212,91
136551,868,47
136552,641,98
136553,610,26
136554,826,41
136555,586,99
136556,610,26
136557,847,42
136558,89,77
136559,518,100
136560,191,91
136561,826,41
136563,654,96
136564,518,100
136565,225,92
136566,826,41
136567,654,97
136569,225,92
136570,843,39
136572,777,94
136573,518,100
136574,225,90
136575,826,42
136576,743,94
136577,518,101
136579,178,88
136580,675,98
136583,212,90
136584,843,40
136585,654,97
136586,573,99
136587,191,91
136588,811,91
136589,743,94
136590,518,99
136591,191,90
136592,826,42
136593,654,97
136594,450,100
136595,191,91
136596,610,27
136597,89,83
136598,610,27
136599,89,81
136600,466,26
136601,178,86
136603,466,27
136605,610,24
136606,89,79
136607,610,25
136608,178,85
136609,610,25
136610,178,85
136611,610,25
136612,178,85
136613,610,27
136614,178,88
136615,610,27
136616,157,90
136617,610,27
136618,178,89
136619,466,28
136620,178,87
136622,178,89
136623,466,28
136624,178,86
136625,610,27
136626,881,40
136627,610,27
136628,178,88
136629,466,28
136630,178,86
136631,610,27
136632,191,90
136633,466,28
136635,610,27
136636,178,87
136638,89,85
136639,610,26
136640,178,90
136641,466,27
136642,212,89
136643,610,26
136644,157,91
136645,610,29
141293,478,44
141294,478,44
141296,478,46
141297,478,47
141298,478,49
141299,478,46
141301,764,60
141303,764,61
141304,764,58
141305,709,61
141306,764,58
141307,709,59
141309,408,80
141310,374,83
141311,374,84
141312,374,82
141313,374,81
141314,374,81
141316,353,82
141317,353,82
141318,319,83
141319,374,83
141320,319,83
141321,319,81
141322,319,83
141324,374,82
141325,319,84
141326,319,83
141327,374,83
141328,319,83
141329,374,82
141330,353,82
141331,408,81
141332,353,82
141333,353,82
141334,374,82
141335,353,82
141336,374,83
141337,374,83
141338,353,82
141339,374,83
141340,408,82
141341,353,82
141342,374,82
141343,374,82
141344,374,81
141345,374,84
141346,408,82
141347,374,83
141348,374,82
141349,408,81
141350,408,82
141351,408,81
141352,374,81
141353,408,83
141354,408,83
141355,408,82
141356,408,82
141357,408,82
141358,408,84
141359,408,82
141360,374,83
141361,491,44
141364,436,41
141365,436,39
141366,457,40
141367,436,40
141368,436,40
141369,491,48
141370,491,48
141371,525,50
141372,525,50
141373,491,50
141374,525,51
141375,525,49
141376,525,49
141377,525,51
141378,525,49
141379,525,49
141512,552,96
141513,607,97
141514,573,97
141515,539,97
141516,293,94
141517,607,97
141518,518,97
141520,573,98
141521,573,98
141522,573,98
141523,610,30
141525,573,97
141526,314,94
141528,497,95
141529,552,96
141531,573,97
141532,518,98
141533,518,96
141534,573,97
141535,573,97
141537,539,97
141538,539,97
141539,573,97
141540,573,97
141541,573,97
141542,573,97
141543,518,96
141544,573,96
141545,552,97
141546,573,97
141547,573,97
141548,484,96
141549,518,98
141551,518,97
141552,573,98
141553,552,97
141554,518,98
141556,573,97
141557,348,94
141558,280,92
141559,348,90
141560,280,92
141561,539,97
141562,709,95
141563,709,96
141564,610,31
141566,709,96
141567,348,96
141568,709,95
141569,348,96
141570,709,95
141571,610,31
141572,709,95
141573,348,97
141574,709,96
141575,610,30
141576,709,96
141577,348,97
141578,709,95
141579,348,96
141580,709,95
141581,610,31
141582,709,96
141583,348,96
141584,709,96
141586,709,95
141587,610,30
141588,709,95
141589,314,96
141590,709,96
141591,610,31
141592,709,95
141593,610,30
141594,709,95
141595,675,96
141596,610,32
141597,709,96
141598,610,33
141599,709,96
141600,610,32
141601,610,31
141602,610,31
141603,709,96
141604,709,96
141605,348,94
141606,709,96
141607,610,32
141608,709,95
141609,348,95
141610,709,95
141611,610,32
141612,709,95
141613,484,98
141614,348,96
141615,382,97
141616,327,95
141617,382,97
141618,280,93
141620,280,93
141621,450,96
141622,348,96
141623,293,93
141624,416,96
141625,610,30
141627,416,96
141628,610,30
141630,610,29
141631,610,31
142978,280,94
142979,843,40
142980,777,93
142981,641,98
142982,382,97
142983,280,94
142984,843,37
142985,881,39
142986,777,92
142987,675,95
142988,610,28
142989,610,31
142990,246,92
142991,178,88
142992,777,93
142993,641,98
142994,211,35
142995,348,97
142996,843,33
142997,212,89
142998,777,92
142999,641,98
143000,610,29
143001,610,32
143002,246,92
143003,25,38
143004,847,46
143005,607,98
143006,610,29
143007,610,31
143008,246,92
143009,178,88
143010,722,90
143011,709,96
143012,450,99
143013,314,97
143014,212,91
143015,845,89
143016,847,45
143017,675,96
143018,610,28
143019,314,95
143020,737,35
143021,233,37
143022,777,94
143023,573,98
143024,382,96
143025,314,94
143026,843,38
143027,233,37
143028,743,95
143029,463,98
143030,610,30
143031,314,95
143032,843,37
143033,881,42
143034,868,46
143035,641,98
