# id,z,y,x
105215,3,6,3
105216,3,6,3
105217,3,6,3
105218,2,6,3
105219,2,6,3
105220,1,6,4
105221,4,6,2
105222,3,6,2
105223,3,6,3
105224,3,6,3
105225,2,6,3
105226,2,6,3
105227,2,6,3
105228,2,6,3
105229,2,6,3
105230,3,6,3
105231,3,6,2
105232,3,6,3
105233,3,6,2
105234,3,6,2
105235,3,6,2
105236,3,6,3
105237,3,6,2
105238,2,6,3
105239,3,6,3
105240,3,6,3
105241,3,6,2
105242,3,6,3
105243,3,6,3
105244,3,6,2
105245,3,6,3
105246,3,6,2
105247,3,6,3
105248,3,6,2
105249,3,6,3
105250,3,6,2
105251,3,6,3
105252,3,6,2
105253,2,6,3
105254,3,6,2
105255,3,6,2
105256,3,6,3
105257,3,6,3
105258,3,5,2
105259,3,6,1
105260,1,6,4
105261,3,6,2
105262,2,6,3
105263,1,6,4
105264,3,6,2
105265,2,5,3
105266,3,6,3
105267,2,6,3
105268,3,6,2
105269,3,6,3
105270,2,6,3
105271,1,6,4
105272,3,6,2
105273,2,6,3
105274,3,6,2
105275,2,6,3
105276,3,6,2
105277,3,6,3
105278,3,6,2
105279,2,6,4
105280,3,6,2
105281,1,6,4
105282,3,6,3
105283,2,6,3
105284,3,6,2
105285,1,6,4
105286,3,6,2
105287,1,6,4
105288,2,6,3
105289,5,4,1
105290,2,6,3
105291,3,6,3
105292,2,6,4
105293,3,6,2
105294,1,6,4
105295,3,6,2
105296,2,6,3
105297,3,6,3
105298,3,6,2
105299,2,6,3
105300,1,6,4
105301,3,6,2
105302,2,6,3
105303,2,6,4
105304,3,6,3
105305,2,6,3
105306,3,6,2
105307,2,6,4
105643,2,5,3
105644,1,5,3
105645,2,5,3
105646,2,5,3
105647,2,5,3
105648,2,5,3
105649,1,6,3
105650,2,5,3
105651,1,5,2
105652,2,5,3
105653,2,6,3
105654,2,6,3
105655,2,5,3
105656,1,5,3
105657,1,5,3
105658,1,6,3
105659,1,5,3
105660,2,6,3
105661,1,6,3
105662,1,6,3
105663,1,5,3
105664,1,5,2
105665,1,5,3
105666,2,5,3
105667,1,5,3
105668,1,5,3
105669,1,5,3
105670,2,5,3
105671,2,5,2
105672,1,5,1
105673,1,5,2
105674,1,5,3
105675,0,5,2
105676,0,6,2
105677,0,6,3
105678,0,6,3
105679,0,6,2
105680,2,5,3
105681,2,5,3
105682,2,5,2
105683,0,6,3
105684,2,5,3
105685,1,5,3
105686,0,6,2
105687,3,5,3
105688,1,5,2
105689,2,5,2
105690,0,6,2
105691,2,5,2
105692,1,5,2
105693,1,5,2
105694,2,5,2
105695,0,6,2
105696,2,5,2
105697,0,6,2
105698,2,6,2
105699,2,5,3
105700,1,5,3
105701,1,5,2
105702,2,5,2
105703,1,5,2
105704,2,6,2
105705,1,5,2
105706,2,6,1
105707,0,6,2
105708,2,5,2
105709,1,5,3
105710,0,6,2
105712,1,5,2
105713,1,5,3
105714,2,5,2
105715,2,5,2
105716,2,5,2
105717,2,5,2
105718,1,5,2
105719,2,5,3
105720,1,6,2
105721,1,5,2
105722,1,6,2
105723,2,5,3
105724,2,5,3
105725,1,6,2
105726,2,5,3
105727,1,5,2
105728,2,5,3
105729,2,5,2
105730,2,5,2
105731,2,5,2
105732,2,5,2
105733,2,6,3
105734,2,5,3
105735,1,6,2
105736,2,5,2
105737,2,5,2
105738,2,5,2
105739,2,5,2
105740,2,5,2
105742,2,5,2
105743,2,6,2
105744,2,6,2
105745,2,5,2
105746,2,6,2
105747,1,5,2
105748,2,5,2
105749,2,6,2
105750,2,5,2
105751,2,6,2
105752,2,6,3
105753,1,5,2
105754,2,5,2
105755,2,5,3
105756,1,5,2
105757,2,6,2
105758,1,5,3
105759,2,6,3
105760,1,5,2
105761,2,5,3
105762,1,6,3
105763,1,6,3
105764,1,6,3
108817,2,5,2
108818,2,5,2
108820,3,4,3
108821,3,3,3
108822,2,6,2
108823,1,5,3
108824,2,5,3
108825,2,5,2
108827,2,5,3
108828,2,6,3
108829,2,6,3
108830,2,5,3
108831,2,5,2
108832,2,5,3
108833,3,4,3
108834,2,6,2
108835,2,5,3
108837,2,6,3
108838,1,6,3
108839,2,5,2
108840,2,6,3
108841,2,6,3
108842,2,5,3
108843,1,6,3
108844,2,5,3
108845,1,5,3
108846,1,6,2
108847,1,6,3
108848,1,6,3
108849,2,5,2
108850,1,6,3
108851,2,5,2
108852,2,6,2
108853,2,5,3
108854,2,6,2
108855,2,5,3
108856,1,5,3
108857,2,5,3
108858,1,6,3
108859,1,6,3
108860,2,5,2
108861,1,5,3
108862,1,6,2
108863,1,6,3
108864,2,5,3
108865,2,5,3
108866,2,6,3
108867,2,6,3
108868,2,5,3
108869,2,5,3
108870,2,5,2
108871,2,5,3
108872,1,5,3
108873,2,5,3
108874,2,5,2
108875,2,6,3
108876,1,6,3
108877,1,5,2
108878,2,5,2
108879,2,5,2
108880,2,5,2
108881,1,6,3
108926,2,6,3
108927,2,6,2
108928,2,6,2
108929,1,6,3
108930,2,6,2
108931,1,6,2
108932,1,6,2
108933,1,6,2
108934,1,6,2
108935,2,6,2
108937,2,6,2
108938,2,6,2
108939,2,6,2
108940,1,6,2
108941,1,6,2
108942,1,6,3
108943,2,6,2
108944,1,6,2
108945,2,6,2
108946,1,6,2
108947,2,6,2
108948,1,6,2
108949,1,6,2
108950,1,6,2
108951,1,6,2
108952,1,6,2
108954,1,6,2
108955,1,6,2
108956,1,6,2
108957,1,6,2
108958,1,6,2
108959,1,6,2
108961,1,6,2
108962,1,6,2
108963,1,6,2
108964,1,6,2
108965,1,6,2
108966,1,6,2
108967,1,6,2
108968,2,6,2
108969,1,6,2
108970,1,6,2
108971,1,6,2
108972,2,6,2
108973,1,6,3
108974,2,6,2
108975,1,6,3
108976,1,6,2
108977,1,6,2
108978,1,6,2
108979,1,6,2
108981,1,6,2
108982,1,6,2
108983,1,6,2
108984,1,6,2
108985,1,6,2
108986,1,6,2
108987,1,6,2
108988,1,6,2
108989,1,6,2
108990,1,6,2
108991,1,6,2
108992,1,6,2
108993,1,6,2
108994,1,6,3
108995,1,6,2
108996,1,6,2
108997,1,6,2
108998,1,6,2
108999,1,6,2
112528,3,6,2
112529,3,6,2
112530,3,6,2
112531,3,5,3
112532,3,6,3
112533,3,6,3
112534,3,5,3
112535,2,4,2
112536,3,5,2
112537,3,4,3
112538,2,4,2
112539,3,6,2
112540,3,6,2
112541,2,6,3
116809,1,5,3
116810,1,5,3
116812,1,6,2
116813,1,6,3
116814,1,5,2
116816,1,6,3
116817,2,5,3
116820,2,6,3
116821,2,5,3
116822,2,5,3
116823,2,6,3
116824,2,6,3
116825,1,6,3
116826,2,6,3
116827,2,6,3
116828,1,6,3
116829,1,6,3
116830,1,6,3
116831,2,6,3
116832,1,6,3
116833,1,5,3
116834,1,5,3
116835,1,6,3
116836,2,5,3
116837,1,6,3
116838,1,6,3
116839,1,5,3
116840,2,6,3
116841,2,6,3
116842,1,6,3
116843,1,6,3
116844,1,6,3
116845,1,5,3
116846,1,5,3
116847,1,5,3
116848,1,6,3
116849,1,5,3
116850,1,6,3
116851,1,6,3
116852,1,6,3
116853,2,6,3
116854,2,6,3
123363,2,6,2
123364,2,6,2
123365,2,6,2
123366,2,6,3
123367,2,6,2
123368,2,6,3
123369,2,6,2
123370,2,6,3
123371,2,6,3
123372,2,6,3
123373,2,6,2
123374,2,6,3
123375,2,6,3
123376,2,6,3
123377,2,6,3
123378,2,6,3
123379,2,6,3
123380,2,6,3
123381,2,6,3
123382,2,6,2
123383,2,6,3
123384,2,6,3
123385,2,6,3
123386,2,6,3
123388,2,6,3
123389,2,6,3
123390,1,6,3
123391,1,6,3
123392,2,6,3
123393,2,6,3
123394,2,6,3
123395,2,6,3
123396,2,6,3
123397,2,6,3
123398,2,6,3
123399,2,6,3
123401,2,6,2
123402,1,6,2
123403,1,6,3
123404,2,6,2
123405,2,6,2
123406,2,6,3
123407,2,6,3
123408,2,6,3
123409,2,6,3
123410,2,6,2
123411,2,6,2
123412,2,6,3
123413,2,6,3
123414,1,6,3
123415,1,6,2
123416,1,6,2
123417,1,6,3
123419,2,6,2
123420,1,6,2
123421,1,6,3
123422,2,6,2
123423,2,6,2
123424,2,6,2
123425,2,6,3
123426,2,6,2
123427,2,6,3
123428,2,6,3
123429,2,6,2
123430,2,6,2
123431,2,6,3
123432,2,6,3
123433,2,6,2
123434,2,6,3
123435,2,6,2
123436,2,6,3
123437,2,6,2
123438,1,6,3
123439,2,6,3
123440,2,6,2
123441,2,6,3
123442,1,6,3
123444,1,6,3
123445,2,6,2
123446,1,6,3
123447,2,6,3
123448,2,6,3
123449,2,6,2
123450,2,6,2
123451,2,6,2
123452,1,6,3
123453,2,6,3
123454,2,6,3
123455,1,6,3
123456,2,6,3
123457,2,6,2
123458,2,6,3
123459,2,6,3
123460,2,6,2
123461,2,6,3
123462,2,6,3
123463,1,6,3
123464,2,6,2
123465,2,6,2
123466,1,6,2
123467,1,6,2
123468,2,6,2
123469,1,6,2
123470,2,6,2
123471,1,6,3
123472,1,6,3
123473,1,6,2
123474,1,6,2
123475,1,6,2
123476,1,6,2
123477,1,6,2
123478,2,6,2
123479,1,6,2
123480,2,6,2
123481,1,6,3
123482,1,6,2
123483,1,6,2
123484,1,6,3
123485,2,6,2
123486,2,6,2
123487,1,6,2
123488,2,6,2
123489,1,6,3
123490,2,6,2
123491,1,6,3
123492,1,6,3
123493,1,6,3
123494,1,6,3
123495,1,6,3
123496,2,6,2
123497,1,6,3
123498,1,6,3
123499,1,6,2
123500,1,6,3
123501,1,6,3
123502,1,6,2
123503,1,6,2
123504,1,6,3
123505,1,6,3
123506,1,6,2
123507,1,6,3
123508,2,6,3
123509,1,6,3
123510,1,6,2
123511,1,6,2
123512,1,6,2
123514,1,6,2
123515,1,6,2
123516,2,6,2
123517,1,6,3
123518,1,6,2
123519,2,6,2
123520,1,6,3
123521,1,6,2
123522,2,6,2
123523,2,6,3
123524,2,6,3
123525,2,6,3
123526,2,6,2
123527,2,6,2
123528,2,6,2
123530,1,6,3
123531,1,6,3
123532,1,6,3
123533,2,6,2
123534,2,6,2
123535,1,6,2
123536,2,6,2
123537,2,6,3
123540,2,6,3
123541,1,6,3
123543,2,6,2
123544,2,6,3
123545,2,6,2
123546,2,6,2
125790,2,5,2
125791,1,6,2
125792,1,5,2
125793,1,5,2
125794,1,5,2
125795,1,5,2
125796,1,5,2
125797,1,5,2
125798,1,5,2
125799,1,5,2
125800,1,6,2
125801,1,5,2
125802,1,5,2
125803,1,5,2
125804,1,5,2
125805,2,5,2
125806,1,6,2
125807,1,6,2
125808,2,5,2
125809,1,5,2
125810,1,5,2
125811,2,5,2
125812,1,5,3
125813,1,5,2
125814,1,6,2
125816,1,5,2
125817,1,5,3
125818,1,5,2
125819,1,6,3
125820,1,6,2
125821,1,5,3
125822,2,5,2
125823,1,6,3
125824,1,6,2
125825,2,5,2
125828,1,6,2
125829,1,5,2
125830,1,5,2
125831,2,5,2
125832,1,5,3
125833,2,5,2
125834,2,6,3
125835,2,5,2
125836,1,6,3
125837,2,5,2
125838,1,6,3
125839,1,5,3
125840,2,5,2
125841,2,5,2
125843,1,5,2
125844,1,6,2
125845,1,6,3
125846,1,6,2
125847,2,6,2
125848,2,6,2
125849,2,5,2
125850,1,6,2
125851,2,6,3
125852,2,6,2
125853,2,6,2
125854,1,5,3
125855,1,5,2
125856,1,5,3
125857,1,6,2
125858,1,5,2
125859,1,6,2
125860,1,5,2
125862,1,5,2
125863,1,6,2
125864,1,6,2
125865,2,5,2
125866,1,6,2
125867,1,5,2
125868,1,6,2
125869,1,6,2
125870,1,6,2
125871,1,5,2
125872,1,6,2
125874,1,6,2
125875,1,5,2
125876,1,6,2
125877,2,5,2
125878,1,6,2
125879,1,5,2
125880,1,5,2
125881,1,6,2
125882,1,5,2
125883,1,6,2
125884,1,5,2
125885,2,5,2
125886,1,5,2
125887,1,5,2
125888,1,6,2
125889,1,5,2
125890,1,5,3
125891,1,5,2
125892,1,6,2
125893,1,6,2
125894,1,5,2
125895,1,6,2
125896,1,6,2
125897,1,5,2
125898,1,5,2
125899,1,5,2
125900,2,5,2
125901,1,6,2
125902,2,5,2
125903,1,5,2
125905,1,6,2
125906,2,5,2
125907,1,5,2
125908,1,6,2
125909,1,5,2
125910,1,6,2
125911,2,5,2
125912,1,5,2
125913,2,5,2
125914,2,5,3
125915,2,5,2
125916,1,5,2
125917,2,5,2
125918,2,6,2
125919,2,5,2
125920,2,6,3
125921,2,6,2
125923,2,5,2
125924,2,6,2
125925,1,6,2
125926,1,5,2
125927,2,6,2
125928,2,6,2
125929,2,6,2
125930,1,6,2
125931,1,5,2
125932,1,6,2
125933,2,6,2
125935,2,6,2
125936,1,6,2
125937,2,5,2
125938,2,5,2
125939,2,5,2
125940,1,6,2
125941,1,6,2
125942,1,5,2
125943,1,5,2
125944,2,5,2
125945,2,5,2
125946,1,5,2
125947,2,6,2
125948,1,5,2
125949,2,5,2
125950,1,6,2
125951,1,6,2
125952,1,5,2
125953,1,6,2
125954,1,5,2
125955,1,6,2
125956,2,6,3
125957,2,6,2
125958,2,5,2
125959,1,5,2
125960,2,5,2
125961,1,5,2
125962,1,5,2
125965,1,5,2
125966,1,5,2
125967,1,5,2
125968,1,5,2
125969,1,5,2
125970,1,5,2
125971,1,5,2
125973,1,5,2
125975,1,6,2
125976,2,6,2
125977,1,6,2
125978,1,6,2
125979,1,6,2
125980,1,5,2
125981,1,6,2
125982,1,6,2
125983,1,6,2
125984,1,6,2
125985,1,5,2
125986,1,6,2
125987,1,6,2
125988,1,6,2
125989,1,5,2
125990,1,6,2
125991,1,6,2
125992,1,6,2
125993,1,6,2
125994,1,6,2
125996,1,6,2
125998,1,6,2
125999,1,6,2
126000,1,6,2
126001,1,5,2
126002,1,6,2
126003,1,6,2
126004,1,5,2
126005,1,5,2
126006,2,5,2
126007,1,5,2
126008,1,5,2
126009,1,5,2
126010,2,5,2
126011,1,6,2
126012,1,6,2
126013,1,5,2
126014,1,6,2
126015,1,5,2
126016,1,6,2
126017,1,5,2
126018,1,5,2
126019,1,5,2
126020,1,6,2
126021,1,5,2
126022,1,5,3
126023,1,5,3
126024,1,5,2
126025,1,5,3
126026,1,5,2
126027,1,5,3
126028,1,6,3
126093,1,6,3
126094,1,6,3
126095,2,6,3
126096,1,6,3
130068,1,5,2
130069,1,5,3
130070,1,5,3
130071,1,5,2
130072,1,5,3
130073,1,5,3
130074,1,5,3
130076,1,5,2
130077,1,5,2
130078,1,5,3
130079,1,5,3
130080,1,5,3
130081,2,5,2
130082,1,5,2
130084,1,5,2
130086,1,5,2
130088,2,5,2
130089,1,5,3
130090,2,5,2
130092,2,5,2
130096,2,5,2
130097,1,5,2
130098,1,5,2
130101,2,5,2
130104,2,5,2
130105,2,5,3
130107,1,5,2
130108,2,5,2
130109,1,5,2
130110,2,5,2
130112,2,5,2
130113,1,5,2
130114,2,5,2
130116,2,6,2
130117,2,5,2
130118,2,5,2
132071,4,7,3
132072,2,7,4
132073,3,7,4
132074,1,7,4
132075,3,7,4
132076,4,7,3
132077,1,7,5
132078,4,6,4
132079,3,7,4
132082,4,6,3
132083,2,7,4
132084,2,7,5
132085,3,7,4
132086,4,6,3
132087,4,5,2
132088,3,7,4
132089,4,6,4
132090,4,7,4
132091,2,7,4
132092,4,6,4
132093,3,6,4
132094,3,7,4
132095,3,7,4
132096,4,7,4
132097,3,7,4
132098,4,7,4
132099,4,7,4
132100,4,7,4
132101,4,7,4
132102,3,7,4
132103,3,7,4
132104,3,6,4
132105,3,7,4
132106,3,7,4
132107,2,7,4
132108,4,6,4
132109,4,7,4
132110,3,7,4
132111,3,6,4
132113,3,7,4
132114,3,7,4
132115,3,7,4
132116,4,7,4
132117,4,7,4
132118,4,7,4
132119,3,6,4
132120,3,7,4
132121,3,6,4
132122,3,6,4
132123,3,7,4
132125,4,7,4
132126,4,6,4
132127,4,7,4
132128,4,7,4
132129,3,7,4
132130,3,6,4
132131,3,7,4
132132,3,6,4
132133,4,7,4
132136,4,7,4
132137,4,7,4
132138,3,6,4
132139,3,7,4
132140,4,6,4
132141,3,6,4
132142,3,7,4
132143,3,7,4
132144,4,6,3
132145,3,7,4
132146,2,6,4
132147,4,6,3
132148,3,7,4
132149,4,6,3
132150,3,7,4
132151,3,7,4
132152,4,6,3
132154,4,6,3
132155,1,6,4
132156,3,6,4
132157,4,6,3
132158,4,6,2
132159,3,6,4
132161,4,6,3
132162,3,6,4
132163,4,6,3
132164,2,6,4
132165,3,6,4
132166,4,6,3
132167,4,5,2
132168,3,6,4
132169,2,7,4
132170,4,6,4
132171,3,7,4
132172,2,6,4
132173,4,6,3
132174,4,6,4
132175,3,7,4
132176,3,7,4
132177,2,6,4
132178,4,6,3
132179,3,7,4
132180,4,6,3
132181,3,6,4
132182,2,6,4
132183,4,6,3
132184,4,5,2
132185,3,6,4
132186,4,6,3
132188,3,7,4
132189,4,6,3
132190,2,6,4
132191,3,7,4
132192,4,6,3
132193,3,7,4
132194,3,7,4
132195,4,6,3
132196,4,6,4
132197,3,6,4
132199,4,6,3
132200,4,7,3
132201,4,7,3
132202,4,7,3
132203,4,7,3
132204,4,7,4
132205,4,7,4
132206,4,7,4
132207,4,7,3
132208,4,7,3
132209,4,7,4
132210,4,7,3
132211,4,7,4
132212,4,7,4
132213,4,7,3
132214,4,7,3
132215,4,7,3
132216,4,7,4
132217,4,7,4
132218,3,7,4
132219,4,7,3
132220,4,7,3
132221,3,7,4
132222,3,6,4
132223,3,7,4
132224,4,7,4
132225,4,7,3
132226,4,6,4
132228,4,6,3
132229,4,6,3
132230,3,6,4
132232,4,6,4
132233,4,6,3
132234,4,7,4
132235,4,7,4
132236,4,6,4
132237,4,7,4
132238,4,7,4
132239,4,7,4
132240,4,7,3
132241,4,7,3
132242,4,7,3
132243,4,6,3
132244,4,6,3
132246,4,7,3
132247,4,7,4
132248,4,7,4
132249,3,7,4
132356,1,6,2
132357,2,6,2
132358,1,6,2
132359,1,6,2
132360,1,6,2
132361,1,6,2
132362,2,6,3
132363,1,6,2
132364,1,6,2
132365,1,6,2
132366,1,6,2
132367,1,6,2
132368,1,6,2
132369,1,6,2
132370,2,6,2
132371,1,6,2
132372,1,6,2
132373,1,6,2
132374,1,6,2
132375,2,6,2
132376,1,6,2
132377,2,6,2
132378,1,6,3
132379,1,6,2
132380,1,6,2
132381,1,6,2
132382,1,6,2
132383,1,6,2
132384,2,6,2
132385,1,6,2
132386,1,6,2
132387,1,6,2
132388,1,6,3
132389,2,6,3
132390,2,6,2
132391,1,6,2
132392,1,6,3
132393,1,6,3
132394,2,6,2
132395,1,6,3
132396,1,6,2
132397,1,6,2
132398,1,6,2
132399,2,6,3
132400,1,6,2
132401,2,6,2
132402,1,6,2
132403,2,6,2
132404,1,6,3
132405,1,6,2
132406,1,6,2
132407,1,6,2
132408,1,6,2
132409,1,6,2
132410,1,6,2
132411,2,6,2
132412,1,6,3
132413,1,6,3
132414,2,6,2
132415,1,6,3
132416,2,6,2
132417,2,6,2
132418,1,6,3
132419,1,6,3
132421,2,6,2
132422,2,6,3
132423,2,6,2
132424,1,6,2
132425,2,6,3
132426,2,6,2
132427,2,6,2
132428,1,6,2
132429,1,6,2
132430,2,6,2
132431,2,6,2
132432,1,6,2
132433,1,6,2
132434,2,6,3
132435,2,6,2
132436,1,6,2
132437,2,6,2
132438,1,6,2
132439,1,6,3
132441,1,6,2
132442,1,6,3
132443,1,6,2
132444,1,6,3
132445,2,6,2
132446,2,6,2
132447,2,6,2
132448,1,6,2
132449,1,6,2
