# id,k,j,i
103154,3,6,3
103155,3,6,3
103156,3,6,3
103157,3,6,2
103158,3,6,3
103159,3,6,3
103160,3,6,2
103161,3,6,3
103162,3,6,3
103163,3,6,2
103164,3,6,2
103165,3,6,3
103166,2,6,3
103167,3,6,2
103168,3,6,2
103169,3,6,3
103170,3,6,3
103171,3,6,2
103172,4,6,2
103173,3,6,2
103174,3,6,3
103175,4,6,2
103176,3,6,3
103177,3,6,3
103178,3,6,3
103179,3,6,3
103180,3,6,2
103181,3,6,3
103182,3,5,2
103183,3,6,2
103184,3,6,2
103185,3,6,2
103186,3,6,2
103187,2,6,4
103188,2,6,4
103189,2,6,3
103190,1,6,3
103191,1,6,3
103192,2,6,2
103193,2,6,3
103194,2,6,3
103195,1,6,3
103196,1,6,3
103197,1,6,2
103198,2,6,2
103200,2,6,4
103201,1,6,4
103202,1,6,3
103203,1,6,2
103204,2,6,3
103205,2,6,3
103206,1,6,3
103207,2,6,3
103208,1,6,2
103209,2,6,3
103210,1,6,3
103211,1,6,3
103212,1,6,3
103213,1,6,2
103214,2,6,4
103215,2,6,3
103216,1,6,3
103217,1,6,2
103218,2,6,3
103219,2,6,4
103220,2,6,3
103221,2,6,3
103222,1,6,2
103223,1,6,3
103224,1,6,3
103225,2,6,3
103226,2,6,3
103227,1,6,4
103228,2,6,3
103229,1,6,3
103230,2,6,3
103231,2,6,3
103232,2,6,2
103233,2,6,3
103234,2,6,3
103235,1,6,3
103236,2,6,2
103237,2,6,3
103238,2,6,3
103239,2,6,2
103240,2,6,3
103241,1,5,2
103242,1,6,3
103243,3,6,4
103244,2,6,3
103245,1,6,2
103246,3,6,3
103247,2,6,2
103248,2,6,2
103249,3,6,3
103250,3,6,4
103251,2,6,3
103252,3,6,3
103253,3,6,3
103254,3,6,3
103255,3,6,4
103256,3,6,3
103257,2,6,3
103258,2,6,3
103259,3,6,3
103260,3,6,3
103261,2,6,3
103262,2,6,3
103263,2,6,4
103264,3,6,3
103265,2,6,4
103266,1,6,2
103267,1,6,2
103268,1,6,2
103270,1,6,3
103271,1,6,2
103272,3,6,3
103273,2,6,4
103274,2,6,3
103275,2,6,3
103276,2,6,3
103277,2,6,3
103278,3,6,3
103279,3,6,3
103280,3,6,3
103281,3,6,3
103282,3,6,3
103283,2,6,3
103284,3,6,3
103285,3,6,3
103286,2,6,3
103287,3,6,4
103288,2,6,3
103289,1,6,2
103290,2,6,2
103291,2,6,2
103292,2,6,2
103294,2,6,2
103295,2,6,2
103296,3,6,3
103297,2,6,3
103298,1,6,2
103299,2,6,2
103300,2,6,3
103301,2,6,2
103302,2,6,2
103303,2,6,2
103304,2,6,3
103305,2,6,2
103306,2,6,2
103307,2,6,2
103308,2,6,2
103309,2,6,2
103310,2,6,2
103311,1,6,1
103312,3,6,3
103313,2,6,2
103314,2,6,2
103315,2,6,2
103316,2,6,3
103317,2,6,3
103318,2,6,2
103319,2,6,2
103320,2,6,2
103321,2,6,3
103322,2,6,2
103323,2,6,2
103324,2,6,2
103325,3,6,2
103327,2,6,2
103328,2,6,2
103329,3,6,3
103330,2,6,3
103331,2,6,2
103332,2,6,2
103333,1,6,2
103334,3,6,3
103335,2,6,2
103336,2,6,2
103337,2,6,2
103338,3,6,3
103339,3,6,2
103340,2,6,2
103341,3,6,3
103342,2,6,2
103343,2,6,3
103344,2,6,2
103345,3,6,3
103346,3,6,2
103347,3,6,3
103348,3,6,4
103349,3,6,3
103350,3,6,2
103351,3,6,2
103352,3,6,3
103353,2,6,2
103354,2,6,2
103355,2,6,3
103356,2,6,3
103357,2,6,2
103358,3,6,3
103359,2,6,2
103360,3,6,3
103361,3,6,2
103362,3,5,3
103363,2,6,3
103364,2,6,2
103365,2,6,3
103366,2,6,2
103367,4,6,3
103368,3,6,2
103369,3,6,3
103370,3,6,3
103372,3,6,3
103373,3,6,2
103374,3,6,3
103375,3,6,4
103376,2,6,2
103377,2,6,2
103378,3,6,2
103379,3,6,2
103380,3,6,2
103381,2,6,3
103382,2,6,3
103383,3,6,3
103384,3,6,3
103385,3,6,3
103386,3,6,3
103388,4,6,3
103389,3,6,3
103390,3,6,3
103391,3,6,2
103392,3,6,3
103393,3,6,3
103394,3,6,3
103395,3,6,3
103396,4,6,3
105193,4,6,4
105194,4,6,3
105195,3,7,5
105196,4,6,4
105197,4,7,3
105198,4,7,4
105199,4,6,3
105200,4,6,5
105201,5,7,3
105202,5,7,1
105203,2,7,5
105204,4,6,2
105205,4,7,4
105206,4,6,3
105207,5,7,3
105209,5,5,3
105210,4,6,4
105211,3,5,4
105212,3,6,4
105213,1,6,5
105215,5,5,3
105216,4,5,4
105217,4,5,4
105218,3,5,4
105219,3,5,4
105220,2,6,5
105221,6,6,2
105222,5,5,2
105223,4,5,3
105224,4,5,3
105225,4,5,4
105226,3,6,4
105227,3,6,4
105228,3,6,4
105229,3,5,4
105230,4,6,3
105231,4,6,2
105232,5,6,3
105233,4,5,2
105234,5,6,2
105235,4,6,2
105236,4,6,3
105237,5,6,2
105238,4,6,4
105239,4,6,2
105240,4,6,4
105241,4,5,2
105242,4,6,3
105243,4,6,4
105244,5,6,2
105245,4,6,3
105246,4,6,2
105247,4,5,3
105248,4,6,2
105249,4,5,3
105250,5,6,2
105251,4,5,3
105252,5,6,2
105253,4,6,4
105254,4,6,1
105255,4,6,2
105256,4,5,3
105257,4,6,2
105258,4,5,1
105259,4,5,0
105260,1,6,5
105261,4,5,2
105262,3,5,4
105263,2,5,5
105264,4,6,2
105265,3,5,4
105266,4,5,3
105267,2,5,4
105268,4,6,2
105269,4,5,3
105270,4,5,4
105271,2,6,5
105272,4,6,2
105273,3,6,4
105274,4,6,2
105275,2,6,4
105276,4,6,1
105277,4,5,3
105278,4,6,2
105279,3,5,5
105280,4,6,1
105281,1,6,5
105282,4,6,3
105283,3,5,4
105284,4,6,1
105285,1,6,5
105286,4,6,2
105287,2,6,5
105288,4,5,4
105290,3,5,4
105291,4,6,2
105292,2,5,5
105293,4,6,2
105294,1,6,5
105295,4,6,2
105296,3,5,4
105297,4,5,3
105298,4,6,2
105299,3,6,4
105300,1,6,5
105301,4,6,2
105302,3,5,4
105303,3,5,5
105304,5,6,3
105305,3,5,4
105306,4,6,2
105307,3,6,5
105643,3,5,3
105644,2,5,3
105645,3,5,3
105646,2,5,3
105647,2,5,4
105648,2,5,3
105649,2,5,3
105650,2,5,3
105651,1,5,2
105652,3,5,3
105653,3,5,3
105654,2,5,3
105655,2,5,3
105656,2,5,3
105657,2,5,4
105658,2,5,3
105659,2,4,3
105660,2,5,3
105661,2,5,3
105662,2,5,3
105663,2,5,2
105664,2,5,2
105665,1,5,3
105666,2,5,3
105667,2,4,3
105668,2,5,3
105669,2,5,3
105670,2,5,3
105671,3,5,1
105674,1,5,3
105680,3,4,3
105681,2,4,2
105682,3,5,2
105683,0,5,3
105684,3,5,3
105685,1,5,3
105686,0,5,2
105687,4,5,3
105688,1,5,2
105689,2,5,2
105691,3,5,2
105692,1,5,2
105693,2,4,2
105694,2,5,0
105696,3,5,1
105698,3,5,1
105699,2,4,2
105700,2,5,2
105701,2,5,1
105702,3,5,1
105703,1,5,2
105704,3,5,1
105705,1,5,2
105706,3,5,0
105707,0,5,2
105708,3,5,1
105709,2,5,3
105712,2,5,2
105713,2,5,3
105714,3,5,2
105715,3,5,2
105716,3,5,2
105717,3,5,2
105718,2,5,2
105719,4,5,3
105720,1,5,2
105721,2,5,2
105722,2,5,2
105723,3,5,2
105724,2,5,3
105725,2,5,2
105726,2,5,3
105727,1,4,2
105728,3,5,3
105729,3,5,2
105730,3,5,2
105731,3,5,2
105732,2,5,2
105733,3,5,3
105734,4,5,3
105735,1,5,2
105736,3,5,2
105737,3,5,2
105738,3,5,2
105739,2,5,2
105740,3,5,2
105742,3,5,2
105743,3,5,2
105744,2,5,2
105745,2,5,2
105746,3,5,2
105747,1,4,2
105748,3,5,2
105749,2,5,2
105750,3,5,2
105751,2,5,2
105752,2,5,3
105753,2,5,2
105754,3,5,2
105755,4,5,3
105756,1,5,2
105757,2,5,2
105758,1,5,2
105759,2,5,3
105760,2,5,2
105761,2,5,3
105762,2,5,3
105763,2,5,3
105764,2,5,3
108817,2,5,2
108818,2,5,2
108820,4,3,3
108821,4,1,4
108822,3,5,2
108823,2,4,3
108824,2,5,3
108825,2,5,2
108827,2,4,3
108828,2,5,3
108829,3,5,3
108830,3,5,3
108831,3,5,2
108832,2,5,3
108833,5,3,4
108834,3,6,2
108835,3,5,3
108837,3,5,3
108838,2,5,4
108839,2,5,2
108840,2,5,3
108841,2,5,3
108842,3,5,3
108843,2,5,3
108844,2,5,3
108845,2,5,3
108846,2,5,2
108847,2,5,3
108848,2,5,3
108849,2,5,2
108850,2,5,3
108851,3,5,2
108852,3,5,2
108853,3,5,3
108854,2,5,2
108855,3,5,3
108856,2,5,3
108857,3,4,2
108858,2,5,3
108859,2,5,3
108860,3,5,2
108861,2,5,3
108862,2,5,2
108863,2,5,3
108864,2,5,3
108865,3,5,3
108866,3,5,2
108867,2,5,3
108868,3,5,3
108869,2,5,3
108870,2,5,2
108871,3,5,3
108872,2,5,3
108873,2,5,3
108874,2,5,2
108875,2,5,3
108876,2,5,3
108877,2,5,2
108878,3,5,2
108879,3,5,2
108880,3,5,2
108881,2,5,3
108926,2,6,3
108927,2,6,2
108928,2,6,2
108929,2,6,3
108930,2,6,2
108931,2,6,2
108932,2,6,2
108933,2,6,2
108934,2,6,2
108935,2,6,2
108937,2,6,2
108938,2,5,2
108939,2,6,2
108940,2,6,2
108941,2,6,2
108942,2,6,3
108943,2,6,2
108944,2,6,2
108945,2,6,1
108946,2,6,2
108947,2,6,2
108948,2,6,2
108949,2,6,2
108950,2,6,2
108951,2,6,2
108952,2,6,2
108954,2,6,2
108955,2,6,2
108956,2,5,2
108957,2,6,2
108958,2,6,2
108959,2,6,2
108961,2,6,2
108962,2,6,2
108963,2,6,2
108964,2,6,2
108965,2,6,2
108966,2,6,2
108967,2,6,2
108968,2,6,2
108969,2,6,2
108970,2,6,2
108971,2,6,2
108972,2,6,2
108973,2,6,3
108974,2,6,2
108975,2,5,3
108976,2,6,2
108977,2,6,2
108978,2,6,2
108979,2,6,2
108981,2,6,2
108982,2,6,2
108983,2,6,2
108984,2,6,2
108985,2,6,2
108986,2,6,2
108987,2,6,2
108988,2,6,2
108989,2,6,2
108990,2,6,2
108991,2,6,2
108992,2,6,2
108993,2,6,2
108994,2,5,2
108995,2,6,2
108996,2,6,2
108997,2,6,2
108998,2,6,2
108999,2,6,2
112528,5,6,2
112529,4,6,2
112530,4,5,2
112531,4,4,3
112532,4,6,3
112533,4,5,3
112534,4,4,3
112535,4,3,2
112536,4,4,2
112537,4,3,3
112538,3,2,1
112539,4,5,2
112540,4,6,2
112541,3,5,3
116809,2,5,3
116810,2,5,3
116812,2,5,2
116813,1,5,3
116814,2,5,2
116816,2,5,3
116817,2,5,3
116820,2,5,3
116821,2,5,3
116822,2,5,3
116823,3,5,4
116824,3,6,4
116825,2,5,3
116826,2,6,4
116827,3,5,3
116828,2,5,4
116829,2,5,4
116830,2,5,4
116831,2,5,4
116832,1,5,4
116833,2,5,4
116834,2,5,3
116835,2,5,4
116836,2,5,4
116837,1,5,4
116838,2,5,4
116839,2,5,4
116840,2,6,4
116841,2,5,4
116842,1,5,4
116843,1,5,4
116844,1,5,4
116845,2,5,4
116846,2,5,4
116847,2,5,4
116848,2,5,4
116849,2,5,4
116850,2,5,4
116851,2,5,3
116852,2,5,3
116853,2,5,3
116854,3,6,3
123363,2,5,2
123364,2,5,2
123365,2,5,2
123366,2,5,3
123367,3,5,2
123368,2,6,3
123369,3,5,2
123370,2,5,3
123371,2,5,3
123372,2,5,3
123373,2,5,2
123374,2,5,3
123375,2,6,3
123376,2,5,3
123377,2,6,3
123378,3,5,3
123379,2,6,3
123380,2,5,3
123381,2,6,3
123382,3,6,2
123383,3,5,3
123384,2,5,3
123385,2,5,3
123386,2,5,3
123388,2,6,3
123389,2,5,3
123390,2,6,3
123391,2,6,3
123392,2,5,3
123393,3,5,3
123394,2,5,3
123395,2,5,3
123396,2,5,3
123397,3,5,3
123398,3,6,3
123399,2,5,3
123401,2,6,2
123402,2,5,2
123403,2,6,2
123404,2,5,2
123405,2,6,2
123406,3,6,3
123407,3,5,3
123408,2,6,3
123409,3,6,3
123410,3,5,2
123411,3,5,2
123412,3,5,3
123413,3,5,3
123414,2,6,3
123415,2,6,2
123416,2,6,2
123417,2,6,2
123419,2,6,2
123420,2,5,2
123421,2,6,2
123422,2,6,2
123423,2,6,2
123424,2,6,2
123425,2,6,2
123426,2,6,2
123427,3,5,2
123428,2,6,2
123429,3,6,2
123430,2,6,2
123431,2,5,2
123432,2,6,2
123433,3,6,2
123434,2,6,3
123435,2,6,2
123436,2,6,3
123437,2,6,2
123438,2,6,3
123439,2,6,3
123440,3,6,2
123441,2,6,3
123442,2,6,3
123444,2,6,3
123445,2,6,2
123446,2,6,3
123447,3,6,3
123448,2,6,3
123449,3,6,2
123450,2,5,2
123451,2,6,2
123452,2,6,3
123453,2,6,2
123454,2,6,3
123455,2,6,2
123456,2,6,2
123457,2,6,2
123458,2,6,3
123459,2,6,3
123460,2,6,2
123461,2,6,3
123462,3,5,3
123463,2,6,2
123464,2,6,2
123465,3,6,2
123466,2,5,2
123467,2,6,2
123468,2,6,2
123469,2,6,2
123470,2,5,2
123471,2,5,3
123472,2,6,2
123473,2,6,2
123474,2,6,2
123475,2,6,2
123476,2,5,2
123477,2,6,2
123478,2,6,2
123479,2,6,2
123480,2,6,2
123481,2,5,3
123482,2,6,2
123483,2,6,2
123484,2,6,3
123485,2,6,2
123486,3,6,2
123487,2,5,2
123488,2,5,2
123489,2,6,2
123490,2,5,2
123491,2,6,2
123492,2,6,3
123493,2,6,3
123494,2,6,3
123495,2,5,3
123496,2,6,2
123497,2,6,3
123498,2,6,3
123499,2,6,2
123500,2,6,3
123501,2,5,3
123502,2,5,2
123503,2,5,2
123504,2,6,2
123505,2,6,3
123506,2,5,2
123507,2,5,3
123508,2,6,3
123509,2,6,3
123510,2,6,2
123511,2,6,2
123512,1,6,2
123514,2,5,2
123515,2,6,2
123516,2,6,2
123517,2,6,3
123518,2,6,2
123519,2,6,2
123520,2,6,3
123521,2,6,2
123522,2,6,2
123523,2,6,3
123524,2,6,3
123525,2,6,3
123526,2,6,1
123527,2,6,1
123528,3,6,1
123530,2,6,3
123531,2,6,3
123532,2,6,3
123533,3,6,2
123534,2,6,2
123535,2,6,1
123536,2,6,1
123537,2,6,3
123540,2,5,3
123541,2,5,3
123543,2,6,1
123544,2,6,3
123545,2,6,1
123546,2,6,1
125790,2,5,2
125791,2,5,2
125792,2,5,2
125793,1,5,2
125794,2,4,2
125795,2,5,2
125796,2,5,2
125797,1,5,2
125798,2,5,2
125799,2,5,2
125800,2,5,2
125801,2,5,1
125802,1,5,2
125803,2,5,2
125804,2,5,2
125805,2,5,2
125806,2,5,2
125807,2,5,2
125808,2,5,2
125809,2,5,2
125810,2,5,2
125811,2,5,2
125812,2,5,3
125813,2,5,2
125814,2,5,2
125816,2,5,2
125817,2,5,3
125818,2,5,2
125819,1,5,3
125820,2,5,2
125821,2,5,3
125822,2,4,2
125823,1,5,3
125824,2,5,2
125825,2,5,2
125828,2,5,2
125829,2,4,2
125830,2,5,2
125831,2,5,2
125832,2,5,3
125833,2,5,2
125834,2,5,3
125835,3,5,2
125836,1,5,3
125837,2,5,2
125838,2,5,3
125839,2,5,2
125840,2,5,2
125841,3,5,1
125843,2,5,2
125844,2,5,2
125845,2,5,3
125846,2,5,2
125847,2,6,2
125848,2,6,2
125849,3,5,2
125850,2,5,2
125851,2,5,3
125852,2,5,2
125853,3,5,2
125854,2,5,2
125855,2,5,2
125856,2,5,3
125857,2,5,2
125858,2,5,2
125859,2,5,1
125860,2,5,2
125862,2,5,1
125863,2,5,1
125864,2,5,2
125865,2,5,2
125866,2,5,1
125867,2,5,2
125868,2,5,1
125869,2,5,1
125870,2,5,1
125871,2,5,2
125872,1,5,2
125874,2,5,1
125875,2,5,2
125876,2,5,2
125877,2,5,1
125878,2,5,2
125879,2,5,2
125880,2,5,2
125881,2,5,1
125882,2,4,2
125883,2,5,2
125884,2,5,2
125885,2,5,1
125886,2,5,2
125887,2,5,1
125888,2,5,2
125889,2,4,2
125890,2,4,3
125891,1,5,2
125892,2,5,2
125893,1,5,2
125894,2,5,2
125895,2,5,1
125896,1,5,2
125897,2,5,2
125898,1,5,2
125899,2,5,2
125900,2,4,2
125901,2,5,2
125902,3,5,2
125903,2,5,2
125905,2,5,1
125906,2,5,2
125907,2,5,1
125908,2,5,1
125909,2,5,2
125910,2,5,1
125911,2,4,2
125912,2,5,2
125913,3,5,2
125914,2,5,3
125915,2,5,2
125916,2,4,2
125917,2,5,2
125918,2,5,2
125919,2,5,2
125920,3,5,2
125921,2,5,2
125923,2,5,2
125924,3,5,2
125925,1,5,2
125926,1,5,2
125927,2,5,2
125928,3,5,2
125929,2,5,2
125930,2,5,2
125931,2,5,2
125932,2,5,2
125933,3,5,2
125935,2,5,1
125936,1,6,2
125937,2,5,2
125938,2,5,2
125939,2,5,2
125940,2,5,2
125941,1,5,2
125942,2,5,2
125943,2,5,2
125944,3,5,2
125945,2,5,2
125946,2,5,2
125947,2,5,2
125948,2,5,2
125949,3,5,2
125950,2,5,2
125951,2,5,2
125952,2,4,2
125953,1,6,2
125954,1,5,2
125955,1,5,2
125956,2,5,3
125957,2,5,2
125958,2,5,2
125959,2,5,2
125960,2,5,2
125961,2,5,2
125962,2,5,2
125965,2,5,2
125966,2,5,2
125967,1,5,2
125968,1,5,2
125969,1,5,1
125970,1,5,2
125971,1,5,1
125973,1,5,2
125975,2,5,2
125976,2,5,1
125977,1,5,1
125978,2,5,2
125979,2,5,2
125980,1,5,2
125981,2,5,2
125982,1,5,2
125983,2,5,1
125984,2,5,2
125985,1,5,2
125986,1,5,2
125987,2,5,2
125988,2,5,2
125989,2,5,2
125990,2,5,2
125991,2,5,2
125992,2,5,2
125993,2,5,2
125994,2,5,2
125996,1,5,2
125998,1,5,2
125999,2,5,2
126000,1,6,2
126001,2,5,2
126002,1,5,2
126003,2,5,2
126004,1,5,2
126005,2,5,2
126006,2,4,2
126007,1,4,2
126008,1,5,2
126009,2,5,2
126010,2,4,2
126011,2,5,2
126012,2,6,2
126013,2,5,2
126014,2,5,2
126015,1,5,2
126016,2,5,1
126017,2,5,1
126018,2,5,2
126019,2,5,2
126020,2,5,2
126021,1,5,2
126022,2,5,3
126023,2,5,3
126024,2,5,2
126025,2,5,3
126026,2,4,2
126027,1,5,3
126028,1,5,3
126093,2,6,3
126094,2,6,3
126095,2,6,3
126096,2,6,3
130068,1,4,2
130069,2,4,3
130070,2,4,2
130071,2,4,2
130072,2,4,3
130073,2,4,3
130074,2,4,3
130076,1,5,2
130077,2,4,2
130078,2,4,3
130079,2,4,3
130080,2,4,3
130081,2,4,2
130082,2,4,2
130084,2,5,2
130086,2,5,2
130088,3,4,2
130089,1,4,3
130090,3,4,2
130092,2,5,2
130096,2,5,2
130097,2,5,2
130098,2,5,2
130101,2,4,2
130104,2,5,2
130105,3,5,3
130107,2,5,2
130108,2,5,2
130109,2,5,2
130110,3,5,2
130112,3,5,2
130113,2,4,2
130114,2,5,2
130116,2,5,2
130117,2,5,2
130118,2,5,2
132071,6,7,4
132072,3,7,6
132073,5,7,5
132075,5,7,5
132076,6,6,4
132078,6,6,5
132079,5,7,6
132082,6,6,4
132083,3,7,7
132084,3,7,7
132085,5,7,6
132086,6,6,4
132087,6,5,2
132088,4,7,7
132089,6,6,5
132090,5,7,5
132091,4,6,6
132092,5,6,5
132093,5,6,5
132094,5,7,5
132095,4,7,7
132096,5,7,5
132097,4,7,6
132098,5,7,5
132101,6,6,5
132102,5,7,5
132103,5,7,6
132104,5,6,6
132105,5,7,6
132106,4,7,6
132107,3,7,7
132108,5,6,5
132109,6,7,5
132110,5,7,6
132111,5,6,6
132113,4,6,6
132114,5,7,6
132115,4,7,6
132116,5,7,5
132118,6,7,5
132119,5,6,5
132120,5,6,5
132121,5,6,5
132122,5,6,5
132123,5,7,6
132125,6,7,5
132126,5,6,5
132127,5,7,5
132128,6,7,5
132129,5,7,6
132130,5,6,5
132131,4,7,7
132132,5,6,6
132133,5,7,5
132136,6,7,5
132137,6,7,5
132138,5,6,5
132139,4,7,6
132140,6,6,5
132141,5,6,6
132142,4,7,6
132143,5,7,6
132144,6,6,4
132145,5,6,6
132146,2,6,6
132147,7,5,3
132148,5,6,6
132149,6,6,4
132150,4,7,6
132151,5,7,6
132152,6,6,4
132154,6,6,4
132155,2,6,7
132156,4,6,6
132157,6,6,4
132158,6,5,2
132159,5,6,6
132161,6,6,3
132162,5,6,6
132163,6,5,3
132164,2,6,7
132165,5,6,6
132166,6,5,3
132167,6,5,2
132168,5,6,6
132169,4,7,6
132170,6,6,5
132171,5,7,6
132172,2,6,7
132173,6,5,4
132174,6,6,5
132175,4,7,6
132177,3,6,6
132178,6,6,4
132179,5,7,6
132180,6,5,3
132181,5,6,6
132182,3,6,6
132183,6,6,4
132184,6,5,2
132185,4,6,6
132186,6,6,4
132188,5,7,6
132189,6,6,4
132190,2,6,6
132191,5,7,6
132192,6,6,4
132193,5,7,6
132194,4,7,6
132195,6,6,4
132196,6,6,5
132197,4,6,6
132199,6,6,4
132200,6,7,4
132201,6,7,4
132202,6,7,4
132205,6,6,5
132206,6,7,5
132209,6,7,5
132210,6,7,4
132211,6,7,5
132212,6,7,5
132213,6,7,4
132214,6,7,4
132216,6,7,5
132218,5,7,6
132219,6,6,4
132220,6,6,4
132221,5,7,6
132222,4,6,6
132223,5,6,5
132224,5,7,5
132225,6,7,4
132226,6,6,5
132228,6,6,4
132229,6,6,4
132230,5,6,5
132232,5,6,5
132233,6,6,4
132234,5,6,5
132235,6,7,5
132236,6,6,5
132237,6,7,5
132238,6,7,5
132239,6,6,5
132240,6,7,4
132241,6,6,4
132242,6,7,4
132243,6,6,4
132244,6,6,4
132246,6,7,4
132247,6,6,5
132248,6,7,5
132249,5,7,5
132356,2,6,2
132357,2,6,2
132358,2,6,2
132359,2,6,2
132360,2,6,2
132361,2,6,2
132362,2,6,3
132363,2,6,2
132364,2,6,2
132365,2,5,2
132366,2,6,2
132367,2,6,2
132368,2,5,2
132369,2,6,2
132370,2,6,2
132371,2,5,2
132372,2,5,2
132373,2,5,2
132374,2,6,2
132375,2,6,2
132376,2,6,2
132377,2,6,2
132378,2,6,3
132379,2,6,2
132380,2,6,2
132381,2,6,2
132382,2,6,2
132383,2,5,2
132384,2,6,2
132385,2,6,2
132386,2,6,2
132387,2,6,2
132388,2,6,2
132389,2,6,3
132390,2,6,2
132391,2,5,2
132392,2,5,3
132393,2,6,3
132394,2,6,2
132395,1,5,3
132396,2,6,2
132397,2,6,2
132398,2,5,2
132399,2,6,3
132400,2,6,2
132401,2,6,2
132402,2,6,2
132403,2,6,2
132404,2,6,2
132405,2,6,2
132406,2,6,2
132407,2,6,2
132408,2,6,2
132409,2,6,2
132410,2,6,2
132411,3,6,2
132412,2,6,3
132413,2,6,2
132414,2,6,2
132415,2,5,3
132416,2,6,2
132417,2,6,2
132418,2,5,3
132419,2,5,3
132421,2,6,2
132422,2,6,3
132423,2,6,2
132424,2,6,2
132425,2,6,3
132426,2,6,2
132427,2,6,2
132428,2,6,2
132429,2,6,2
132430,2,6,2
132431,2,6,2
132432,2,6,2
132433,2,6,2
132434,2,6,2
132435,2,6,2
132436,2,6,2
132437,2,6,2
132438,2,6,2
132439,2,6,3
132441,2,6,2
132442,2,6,2
132443,2,6,2
132444,2,5,3
132445,2,6,2
132446,2,6,2
132447,2,6,2
132448,2,6,2
132449,2,6,2
132450,2,6,2
132451,2,6,2
132452,2,6,2
132453,2,6,2
132454,2,6,3
132455,2,6,2
132456,2,6,3
132457,2,6,2
132458,3,5,1
132459,2,6,2
132460,2,6,2
134121,3,5,2
134122,3,6,3
134123,3,6,3
134124,2,6,3
134125,2,5,3
134126,2,6,3
134127,2,6,3
134128,2,6,3
134129,2,6,3
134130,2,5,4
134131,2,5,4
134132,2,5,3
134133,2,6,3
134134,1,6,3
134135,2,6,3
134136,2,6,3
